repo,url,sha,go_version,n_imp,n_impT,n_all,stratum
lopezator__migrator,https://github.com/lopezator/migrator,09f72601e8a29b17e0439d9b3142609bc421fe53,1.18,0,0,66,impT_empty
lucassscaravelli__ej,https://github.com/lucassscaravelli/ej,ef66601323f700cc32102b5f72abe1a6f55c483c,1.12,0,5,12,impT_nonempty
lvyahui8__goenum,https://github.com/lvyahui8/goenum,5667ddf7c882576f00ac2771b3ec36ce971a11ab,1.18,0,4,7,impT_nonempty
maja42__goval,https://github.com/maja42/goval,1613c838b2991ea762b8526c288f219024e9f430,1.18,0,4,7,impT_nonempty
maxatome__go-vitotrol,https://github.com/maxatome/go-vitotrol,a7d55685516a1c4bad6b5828aeaf030908bc8fd7,1.18,0,2,3,impT_nonempty
mickep76__mapslice-json,https://github.com/mickep76/mapslice-json,22c8edf578070fd6f77d14f95a6acd45fd89ccb4,1.16,0,0,16,impT_empty
mingrammer__commonregex,https://github.com/mingrammer/commonregex,16880c65af7225cc9182d5ba383bf5c4ed71af76,,0,3,4,impT_nonempty
mirecl__catboost-cgo,https://github.com/mirecl/catboost-cgo,1e3793b7ceb45d2847c6182dca235e792ad714e3,1.22,0,4,7,impT_nonempty
mocktools__go-smtp-mock,https://github.com/mocktools/go-smtp-mock,ac1cbd23980873c86f0e8bb6bf5dda1cecf5d2a0,1.24,0,5,7,impT_nonempty
mustafaturan__bus,https://github.com/mustafaturan/bus,ea436a8ebd8ca6d26ac9b1e61aa131870e190b23,1.16,0,4,7,impT_nonempty
nbari__violetear,https://github.com/nbari/violetear,df20784409517ac358b5318c5fef97e88036ccf6,1.16,0,1,2,impT_nonempty
nofeaturesonlybugs__set,https://github.com/nofeaturesonlybugs/set,efdaca52797852b2d8cc40614646bcf2809635ba,1.16,0,4,7,impT_nonempty
novalagung__gubrak,https://github.com/novalagung/gubrak,b516a7e51d8890f3a693eacedef231328fd79fd7,1.18,0,5,8,impT_nonempty
o1egl__fwencoder,https://github.com/o1egl/fwencoder,2c45044a2d338828e8b586881b60fb7cb9b8a991,1.23,0,4,7,impT_nonempty
olvrng__ujson,https://github.com/olvrng/ujson,772b59d2318e0b7d164303cf297c35067f24269e,1.19,0,1,2,impT_nonempty
otiai10__openaigo,https://github.com/otiai10/openaigo,12adbec3b25bf6efe7dc0d3abdb9488a2879fc35,1.18,0,1,2,impT_nonempty
pardnchiu__go-scheduler,https://github.com/pardnchiu/go-scheduler,c62a9e53d25477b58c2fbe4a011f8eacf60298f8,1.23,0,4,7,impT_nonempty
patrikeh__go-deep,https://github.com/patrikeh/go-deep,a2775168ab3dd45487c31cc05fb733d55d21853e,1.13,0,3,4,impT_nonempty
peczenyj__xpool,https://github.com/peczenyj/xpool,371a6d4bd6d485b79468043ef948381148ab453a,1.18,0,4,7,impT_nonempty
pieterclaerhout__go-waitgroup,https://github.com/pieterclaerhout/go-waitgroup,0969bb4d154e7bcbd0461f6ffe262cd3f58a0d16,1.13,0,5,8,impT_nonempty
piglig__go-qr,https://github.com/piglig/go-qr,832517b8dd4c5f48188211c0c6691c6ac38b0363,1.21,0,4,7,impT_nonempty
plar__go-adaptive-radix-tree,https://github.com/plar/go-adaptive-radix-tree,bdbea33ddf359a660e4f7739e09ed4d003bb6814,1.18,0,4,7,impT_nonempty
prashantgupta24__mac-sleep-notifier,https://github.com/prashantgupta24/mac-sleep-notifier,4660ee703786c1488c0cf3904cb8e9f18c23070c,,0,3,5,impT_nonempty
qmuntal__gltf,https://github.com/qmuntal/gltf,12f8bef4dafe34c8588fcc640f09fc9828171906,1.20,0,1,2,impT_nonempty
qmuntal__opc,https://github.com/qmuntal/opc,8cd781bb17480332ecf9332e9acdbd85aa867970,1.13,0,4,5,impT_nonempty
rabbitmq__amqp091-go,https://github.com/rabbitmq/amqp091-go,1b0bfd88360b81b5d03da60ddecbb39329019bcb,1.20,0,0,8,impT_empty
rbretecher__go-postman-collection,https://github.com/rbretecher/go-postman-collection,093c43487f1d8ca71ffcb5826874124f468fb768,1.16,0,4,10,impT_nonempty
rekby__objwalker,https://github.com/rekby/objwalker,5a696cd98490792fc785da588fe01b6c03f5f5c2,1.17,0,4,7,impT_nonempty
rfberaldo__sqlz,https://github.com/rfberaldo/sqlz,3015f2d14bb903ea561ed4a1d0d34d2d16594b13,1.24,0,13,25,impT_nonempty
rjNemo__underscore,https://github.com/rjNemo/underscore,a29f64b7005a931dc0dd43b73aa3c96338ca0cf4,1.24.2,0,4,7,impT_nonempty
romshark__jscan,https://github.com/romshark/jscan,6712838b7a4ec3dcf309e4c636571bf4087651b2,1.21,0,4,11,impT_nonempty
sanketplus__go-mysql-lock,https://github.com/sanketplus/go-mysql-lock,db609c2b69f9af7a6037b449e5b3cf5c73aedd33,1.13,0,6,21,impT_nonempty
scigolib__hdf5,https://github.com/scigolib/hdf5,8223748b68858d11377e14a1cde8c6e9e377c1d4,1.25,0,4,7,impT_nonempty
scryinfo__dp,https://github.com/scryinfo/dp,f60bf891385f1a47fe3932d2aa7af0d251665f86,1.12,0,0,155,impT_empty
sdqri__effdsl,https://github.com/sdqri/effdsl,05b936e5776a806bdab699ddec32350cd07d8263,1.18,0,4,7,impT_nonempty
sinhashubham95__jsonic,https://github.com/sinhashubham95/jsonic,ce3f9dde4351789c49747d3fa32b1f4d62e51971,1.15,0,4,11,impT_nonempty
sixafter__aes-ctr-drbg,https://github.com/sixafter/aes-ctr-drbg,1fd57164d9f6d927c2e466b8dcb714fa63c475f8,1.26,0,5,8,impT_nonempty
skovtunenko__graterm,https://github.com/skovtunenko/graterm,a294de03baa5e5bfde0d1d0ced418b7ba808fbf3,1.20,0,1,8,impT_nonempty
srfrog__dict,https://github.com/srfrog/dict,1ce666229c0caee343f0f5c6e4b216e1edabee6c,1.15,0,4,7,impT_nonempty
ssgreg__repeat,https://github.com/ssgreg/repeat,803b320219f9425202589597075ba13d578cf12b,,0,3,5,impT_nonempty
striker2000__petrovich,https://github.com/striker2000/petrovich,090c9a15e6ac4fe9920331f076def62e364f80c1,1.13,0,3,4,impT_nonempty
subpop__go-ini,https://github.com/subpop/go-ini,9ad655d20cf6b0986788f1c72a52151dfe48e71a,1.21,0,1,2,impT_nonempty
thoas__go-funk,https://github.com/thoas/go-funk,045ef11f8f9f4d83a03adbd0eea420773c6c68bc,1.13,0,4,7,impT_nonempty
tickstem__uptime,https://github.com/tickstem/uptime,b175e64e318efcfa995124366ee406c3fb690e58,1.22,0,4,7,impT_nonempty
tickstem__verify,https://github.com/tickstem/verify,301932359edf4e9318e316d72caf5645b9ac3916,1.22,0,4,7,impT_nonempty
tiendc__autowire,https://github.com/tiendc/autowire,470575e9996fa68400bf9492545eb390102ff15a,1.18,0,4,7,impT_nonempty
trivago__gollum,https://github.com/trivago/gollum,eebd68e5a2b7bcb5dd6994f446a9ccbcc801ae87,1.16,0,0,251,impT_empty
uniplaces__carbon,https://github.com/uniplaces/carbon,cacaeb006f61e882c1a763a06f4133e9f38748fe,1.16,0,3,4,impT_nonempty
urfave__cli,https://github.com/urfave/cli,4937c163f8e8bd88fdb06c4eab67cde61436c205,1.22,0,4,7,impT_nonempty
wI2L__jettison,https://github.com/wI2L/jettison,c70014c6417af0b0aef8ee7cb809fbb9e8fc6c6a,1.18,0,6,14,impT_nonempty
wellington__go-libsass,https://github.com/wellington/go-libsass,e1cda027356ef54af876fd1aa0bd29cd28f6c43f,1.18,0,0,5,impT_empty
wenerme__go-req,https://github.com/wenerme/go-req,5bff1aa58f32930b0813729ada65f8ae631650e5,1.24,0,4,7,impT_nonempty
wesovilabs__koazee,https://github.com/wesovilabs/koazee,b41b2b4240402649074ae1bfca8e9fc4e46d7c0f,1.12,0,4,10,impT_nonempty
wzshiming__httpproxy,https://github.com/wzshiming/httpproxy,df42621b748dfcf2f8ba2a125f83fd7229ec89bc,1.25.0,0,2,9,impT_nonempty
xxjwxc__gofal,https://github.com/xxjwxc/gofal,7b4349ad56ab64a02905b4d037b759f284619320,1.12,0,0,24,impT_empty
yaitoo__async,https://github.com/yaitoo/async,74db4a9f484f6c349507e98603bf362190f57ba9,1.18,0,4,7,impT_nonempty
