repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july,gt_all_now,gt_counts_ok,july_n_all_raw,now_gt_all_tsv_lines,july_scores,now_main,now_main_empty,now_warm_cache,emptymain_source,verdict
1set__todotxt,cdxgen,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
1set__todotxt,cyclonedx-gomod,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
32leaves__bel,syft,1,1,3,3,9,9,yes,10,9,8/0/1/1/7/0/3/5/0,8/0/1/1/7/0/3/5/0,,,no,match
32leaves__bel,trivy,1,1,3,3,9,9,yes,10,9,9/0/0/1/8/0/3/6/0,9/0/0/1/8/0/3/6/0,,,no,match
32leaves__bel,cdxgen,1,1,3,3,9,9,yes,10,9,1/0/8/1/0/0/1/0/2,1/0/8/1/0/0/1/0/2,,,no,match
32leaves__bel,cyclonedx-gomod,1,1,3,3,9,9,yes,10,9,1/0/8/1/0/0/1/0/2,1/0/8/1/0/0/1/0/2,,,no,match
42Atomys__webhooked,syft,26,26,29,29,181,181,yes,182,181,48/0/133/26/22/0/29/19/0,48/0/133/26/22/0/29/19/0,,,no,match
42Atomys__webhooked,trivy,26,26,29,29,181,181,yes,182,181,31/0/150/26/5/0/29/2/0,31/0/150/26/5/0/29/2/0,,,no,match
42Atomys__webhooked,cdxgen,26,26,29,29,181,181,yes,182,181,26/0/155/26/0/0/26/0/3,26/0/155/26/0/0/26/0/3,,,no,match
42Atomys__webhooked,cyclonedx-gomod,26,26,29,29,181,181,yes,182,181,27/0/154/26/1/0/26/1/3,27/0/154/26/1/0/26/1/3,,,no,match
AllenDang__cimgui-go,syft,8,8,8,8,30,30,yes,31,30,14/15/16/8/21/0/8/21/0,14/15/16/8/21/0/8/21/0,,,no,match
AllenDang__cimgui-go,trivy,8,8,8,8,30,30,yes,31,30,13/6/17/8/11/0/8/11/0,13/6/17/8/11/0/8/11/0,,,no,match
AllenDang__cimgui-go,cdxgen,8,8,8,8,30,30,yes,31,30,10/5/20/8/7/0/8/7/0,10/5/20/8/7/0/8/7/0,,,no,match
AllenDang__cimgui-go,cyclonedx-gomod,8,8,8,8,30,30,yes,31,30,11/0/19/8/3/0/8/3/0,11/0/19/8/3/0/8/3/0,,,no,match
Allenxuxu__gev,syft,19,19,23,23,63,63,yes,64,63,31/0/32/19/12/0/23/8/0,31/0/32/19/12/0/23/8/0,,,no,match
Allenxuxu__gev,trivy,19,19,23,23,63,63,yes,64,63,63/0/0/19/44/0/23/40/0,63/0/0/19/44/0/23/40/0,,,no,match
Allenxuxu__gev,cdxgen,19,19,23,23,63,63,yes,64,63,19/0/44/19/0/0/19/0/4,19/0/44/19/0/0/19/0/4,,,no,match
Allenxuxu__gev,cyclonedx-gomod,19,19,23,23,63,63,yes,64,63,19/0/44/19/0/0/19/0/4,19/0/44/19/0/0/19/0/4,,,no,match
Bilibili__discovery,syft,23,23,27,27,211,211,yes,212,211,39/0/172/23/16/0/27/12/0,39/0/172/23/16/0/27/12/0,,,no,match
Bilibili__discovery,trivy,23,23,27,27,211,211,yes,212,211,211/0/0/23/188/0/27/184/0,211/0/0/23/188/0/27/184/0,,,no,match
Bilibili__discovery,cdxgen,23,23,27,27,211,211,yes,212,211,23/0/188/23/0/0/23/0/4,23/0/188/23/0/0/23/0/4,,,no,match
Bilibili__discovery,cyclonedx-gomod,23,23,27,27,211,211,yes,212,211,26/0/185/23/3/0/23/3/4,26/0/185/23/3/0/23/3/4,,,no,match
Breeze0806__go-etl,syft,54,54,54,54,103,103,yes,104,103,75/0/28/54/21/0/54/21/0,75/0/28/54/21/0/54/21/0,,,no,match
Breeze0806__go-etl,trivy,54,54,54,54,103,103,yes,104,103,55/0/48/54/1/0/54/1/0,55/0/48/54/1/0/54/1/0,,,no,match
Breeze0806__go-etl,cdxgen,54,54,54,54,103,103,yes,104,103,54/0/49/54/0/0/54/0/0,54/0/49/54/0/0/54/0/0,,,no,match
Breeze0806__go-etl,cyclonedx-gomod,54,54,54,54,103,103,yes,104,103,55/0/48/54/1/0/54/1/0,55/0/48/54/1/0/54/1/0,,,no,match
BrianLeishman__go-imap,syft,26,26,26,26,37,37,yes,38,37,30/0/7/26/4/0/26/4/0,30/0/7/26/4/0/26/4/0,,,no,match
BrianLeishman__go-imap,trivy,26,26,26,26,37,37,yes,38,37,26/0/11/26/0/0/26/0/0,26/0/11/26/0/0/26/0/0,,,no,match
BrianLeishman__go-imap,cdxgen,26,26,26,26,37,37,yes,38,37,26/0/11/26/0/0/26/0/0,26/0/11/26/0/0/26/0/0,,,no,match
BrianLeishman__go-imap,cyclonedx-gomod,26,26,26,26,37,37,yes,38,37,26/0/11/26/0/0/26/0/0,26/0/11/26/0/0/26/0/0,,,no,match
CalebQ42__bbConvert,syft,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
CalebQ42__bbConvert,trivy,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
CalebQ42__bbConvert,cdxgen,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
CalebQ42__bbConvert,cyclonedx-gomod,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
ChainSafe__gossamer,syft,193,193,196,196,565,565,yes,566,565,241/18/324/190/69/3/193/66/3,241/18/324/190/69/3/193/66/3,,,no,match
ChainSafe__gossamer,trivy,193,193,196,196,565,565,yes,566,565,212/16/353/190/38/3/193/35/3,212/16/353/190/38/3/193/35/3,,,no,match
ChainSafe__gossamer,cdxgen,193,193,196,196,565,565,yes,566,565,198/7/367/193/12/0/193/12/3,198/7/367/193/12/0/193/12/3,,,no,match
ChainSafe__gossamer,cyclonedx-gomod,193,193,196,196,565,565,yes,566,565,189/3/376/181/11/12/181/11/15,189/3/376/181/11/12/181/11/15,,,no,match
ClickHouse__clickhouse-go,syft,55,55,56,56,105,105,yes,106,105,77/0/28/55/22/0/56/21/0,77/0/28/55/22/0/56/21/0,,,no,match
ClickHouse__clickhouse-go,trivy,55,55,56,56,105,105,yes,106,105,63/0/42/55/8/0/56/7/0,63/0/42/55/8/0/56/7/0,,,no,match
ClickHouse__clickhouse-go,cdxgen,55,55,56,56,105,105,yes,106,105,55/0/50/55/0/0/55/0/1,55/0/50/55/0/0/55/0/1,,,no,match
ClickHouse__clickhouse-go,cyclonedx-gomod,55,55,56,56,105,105,yes,106,105,62/0/43/55/7/0/55/7/1,62/0/43/55/7/0/55/7/1,,,no,match
CloudyKit__jet,syft,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
CloudyKit__jet,trivy,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
CloudyKit__jet,cdxgen,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
CloudyKit__jet,cyclonedx-gomod,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
DeRuina__timberjack,syft,1,1,2,2,2,2,yes,3,2,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,,no,match
DeRuina__timberjack,trivy,1,1,2,2,2,2,yes,3,2,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,,no,match
DeRuina__timberjack,cdxgen,1,1,2,2,2,2,yes,3,2,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,,no,match
DeRuina__timberjack,cyclonedx-gomod,1,1,2,2,2,2,yes,3,2,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,,no,match
DylanMeeus__hasgo,syft,2,2,2,2,8,8,yes,9,8,2/1/6/2/1/0/2/1/0,2/1/6/2/1/0/2/1/0,,,no,match
DylanMeeus__hasgo,trivy,2,2,2,2,8,8,yes,9,8,8/1/0/2/7/0/2/7/0,8/1/0/2/7/0/2/7/0,,,no,match
DylanMeeus__hasgo,cdxgen,2,2,2,2,8,8,yes,9,8,2/0/6/2/0/0/2/0/0,2/0/6/2/0/0/2/0/0,,,no,match
DylanMeeus__hasgo,cyclonedx-gomod,2,2,2,2,8,8,yes,9,8,2/0/6/2/0/0/2/0/0,2/0/6/2/0/0/2/0/0,,,no,match
Dynom__TySug,syft,8,8,9,9,16,16,yes,17,16,13/0/3/8/5/0/9/4/0,13/0/3/8/5/0/9/4/0,,,no,match
Dynom__TySug,trivy,8,8,9,9,16,16,yes,17,16,10/0/6/8/2/0/9/1/0,10/0/6/8/2/0/9/1/0,,,no,match
Dynom__TySug,cdxgen,8,8,9,9,16,16,yes,17,16,8/0/8/8/0/0/8/0/1,8/0/8/8/0/0/8/0/1,,,no,match
Dynom__TySug,cyclonedx-gomod,8,8,9,9,16,16,yes,17,16,9/0/7/8/1/0/8/1/1,9/0/7/8/1/0/8/1/1,,,no,match
Edgenesis__shifu,syft,126,126,134,134,435,435,yes,436,435,166/0/269/126/40/0/134/32/0,166/0/269/126/40/0/134/32/0,,,no,match
Edgenesis__shifu,trivy,126,126,134,134,435,435,yes,436,435,137/0/298/126/11/0/134/3/0,137/0/298/126/11/0/134/3/0,,,no,match
Edgenesis__shifu,cdxgen,126,126,134,134,435,435,yes,436,435,126/0/309/126/0/0/126/0/8,126/0/309/126/0/0/126/0/8,,,no,match
Edgenesis__shifu,cyclonedx-gomod,126,126,134,134,435,435,yes,436,435,119/0/316/118/1/8/118/1/16,119/0/316/118/1/8/118/1/16,,,no,match
FiloSottile__age,syft,6,6,9,9,17,17,yes,18,17,9/0/8/6/3/0/9/0/0,9/0/8/6/3/0/9/0/0,,,no,match
FiloSottile__age,trivy,6,6,9,9,17,17,yes,18,17,9/0/8/6/3/0/9/0/0,9/0/8/6/3/0/9/0/0,,,no,match
FiloSottile__age,cdxgen,6,6,9,9,17,17,yes,18,17,6/0/11/6/0/0/6/0/3,6/0/11/6/0/0/6/0/3,,,no,match
FiloSottile__age,cyclonedx-gomod,6,6,9,9,17,17,yes,18,17,6/0/11/6/0/0/6/0/3,6/0/11/6/0/0/6/0/3,,,no,match
Fs02__go-todo-backend,syft,16,16,17,17,51,51,yes,52,51,40/0/11/16/24/0/17/23/0,40/0/11/16/24/0/17/23/0,,,no,match
Fs02__go-todo-backend,trivy,16,16,17,17,51,51,yes,52,51,17/0/34/16/1/0/17/0/0,17/0/34/16/1/0/17/0/0,,,no,match
Fs02__go-todo-backend,cdxgen,16,16,17,17,51,51,yes,52,51,17/0/34/16/1/0/17/0/0,17/0/34/16/1/0/17/0/0,,,no,match
Fs02__go-todo-backend,cyclonedx-gomod,16,16,17,17,51,51,yes,52,51,15/0/36/15/0/1/15/0/2,15/0/36/15/0/1/15/0/2,,,no,match
Fs02__grimoire,syft,11,11,12,12,12,12,yes,13,12,12/0/0/11/1/0/12/0/0,12/0/0/11/1/0/12/0/0,,,no,match
Fs02__grimoire,trivy,11,11,12,12,12,12,yes,13,12,12/0/0/11/1/0/12/0/0,12/0/0/11/1/0/12/0/0,,,no,match
Fs02__grimoire,cdxgen,11,11,12,12,12,12,yes,13,12,11/0/1/11/0/0/11/0/1,11/0/1/11/0/0/11/0/1,,,no,match
Fs02__grimoire,cyclonedx-gomod,11,11,12,12,12,12,yes,13,12,11/0/1/11/0/0/11/0/1,11/0/1/11/0/0/11/0/1,,,no,match
GiGurra__boa,syft,2,2,2,2,7,7,yes,8,7,3/0/4/2/1/0/2/1/0,3/0/4/2/1/0/2/1/0,,,no,match
GiGurra__boa,trivy,2,2,2,2,7,7,yes,8,7,3/0/4/2/1/0/2/1/0,3/0/4/2/1/0/2/1/0,,,no,match
GiGurra__boa,cdxgen,2,2,2,2,7,7,yes,8,7,2/0/5/2/0/0/2/0/0,2/0/5/2/0/0/2/0/0,,,no,match
GiGurra__boa,cyclonedx-gomod,2,2,2,2,7,7,yes,8,7,3/0/4/2/1/0/2/1/0,3/0/4/2/1/0/2/1/0,,,no,match
Gituser143__cryptgo,syft,26,26,26,26,183,183,yes,184,183,38/0/145/26/12/0/26/12/0,38/0/145/26/12/0/26/12/0,,,no,match
Gituser143__cryptgo,trivy,26,26,26,26,183,183,yes,184,183,183/0/0/26/157/0/26/157/0,183/0/0/26/157/0/26/157/0,,,no,match
Gituser143__cryptgo,cdxgen,26,26,26,26,183,183,yes,184,183,26/0/157/26/0/0/26/0/0,26/0/157/26/0/0/26/0/0,,,no,match
Gituser143__cryptgo,cyclonedx-gomod,26,26,26,26,183,183,yes,184,183,27/0/156/26/1/0/26/1/0,27/0/156/26/1/0/26/1/0,,,no,match
GuilhermeCaruso__mooncake,syft,4,4,4,4,10,10,yes,11,10,5/0/5/4/1/0/4/1/0,5/0/5/4/1/0/4/1/0,,,no,match
GuilhermeCaruso__mooncake,trivy,4,4,4,4,10,10,yes,11,10,4/0/6/4/0/0/4/0/0,4/0/6/4/0/0/4/0/0,,,no,match
GuilhermeCaruso__mooncake,cdxgen,4,4,4,4,10,10,yes,11,10,4/0/6/4/0/0/4/0/0,4/0/6/4/0/0/4/0/0,,,no,match
GuilhermeCaruso__mooncake,cyclonedx-gomod,4,4,4,4,10,10,yes,11,10,4/0/6/4/0/0/4/0/0,4/0/6/4/0/0/4/0/0,,,no,match
Guitarbum722__align,syft,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
Guitarbum722__align,trivy,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
Guitarbum722__align,cdxgen,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
Guitarbum722__align,cyclonedx-gomod,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
HDT3213__rdb,syft,7,7,7,7,18,18,yes,19,18,12/0/6/7/5/0/7/5/0,12/0/6/7/5/0/7/5/0,,,no,match
HDT3213__rdb,trivy,7,7,7,7,18,18,yes,19,18,8/0/10/7/1/0/7/1/0,8/0/10/7/1/0/7/1/0,,,no,match
HDT3213__rdb,cdxgen,7,7,7,7,18,18,yes,19,18,7/0/11/7/0/0/7/0/0,7/0/11/7/0/0/7/0/0,,,no,match
HDT3213__rdb,cyclonedx-gomod,7,7,7,7,18,18,yes,19,18,8/0/10/7/1/0/7/1/0,8/0/10/7/1/0/7/1/0,,,no,match
Haraj-backend__hex-monscape,syft,16,16,20,20,53,53,yes,54,53,28/0/25/16/12/0/20/8/0,28/0/25/16/12/0/20/8/0,,,no,match
Haraj-backend__hex-monscape,trivy,16,16,20,20,53,53,yes,54,53,22/0/31/16/6/0/20/2/0,22/0/31/16/6/0/20/2/0,,,no,match
Haraj-backend__hex-monscape,cdxgen,16,16,20,20,53,53,yes,54,53,16/0/37/16/0/0/16/0/4,16/0/37/16/0/0/16/0/4,,,no,match
Haraj-backend__hex-monscape,cyclonedx-gomod,16,16,20,20,53,53,yes,54,53,16/0/37/16/0/0/16/0/4,16/0/37/16/0/0/16/0/4,,,no,match
HazelnutParadise__insyra,syft,128,128,134,134,517,517,yes,518,517,196/0/321/128/68/0/134/62/0,196/0/321/128/68/0/134/62/0,,,no,match
HazelnutParadise__insyra,trivy,128,128,134,134,517,517,yes,518,517,148/0/369/128/20/0/134/14/0,148/0/369/128/20/0/134/14/0,,,no,match
HazelnutParadise__insyra,cdxgen,128,128,134,134,517,517,yes,518,517,128/0/389/128/0/0/128/0/6,128/0/389/128/0/0/128/0/6,,,no,match
HazelnutParadise__insyra,cyclonedx-gomod,128,128,134,134,517,517,yes,518,517,134/0/383/121/13/7/121/13/13,134/0/383/121/13/7/121/13/13,,,no,match
Henry-Sarabia__igdb,syft,4,4,4,4,5,5,yes,6,5,5/0/0/4/1/0/4/1/0,5/0/0/4/1/0/4/1/0,,,no,match
Henry-Sarabia__igdb,trivy,4,4,4,4,5,5,yes,6,5,5/0/0/4/1/0/4/1/0,5/0/0/4/1/0/4/1/0,,,no,match
Henry-Sarabia__igdb,cdxgen,4,4,4,4,5,5,yes,6,5,4/0/1/4/0/0/4/0/0,4/0/1/4/0/0/4/0/0,,,no,match
Henry-Sarabia__igdb,cyclonedx-gomod,4,4,4,4,5,5,yes,6,5,4/0/1/4/0/0/4/0/0,4/0/1/4/0/0/4/0/0,,,no,match
HugoSmits86__nativewebp,syft,1,1,1,1,2,2,yes,3,2,1/0/1/1/0/0/1/0/0,1/0/1/1/0/0/1/0/0,,,no,match
HugoSmits86__nativewebp,trivy,1,1,1,1,2,2,yes,3,2,1/0/1/1/0/0/1/0/0,1/0/1/1/0/0/1/0/0,,,no,match
HugoSmits86__nativewebp,cdxgen,1,1,1,1,2,2,yes,3,2,1/0/1/1/0/0/1/0/0,1/0/1/1/0/0/1/0/0,,,no,match
HugoSmits86__nativewebp,cyclonedx-gomod,1,1,1,1,2,2,yes,3,2,1/0/1/1/0/0/1/0/0,1/0/1/1/0/0/1/0/0,,,no,match
Humpheh__goboy,syft,8,8,12,12,28,28,yes,29,28,17/0/11/8/9/0/12/5/0,17/0/11/8/9/0/12/5/0,,,no,match
Humpheh__goboy,trivy,8,8,12,12,28,28,yes,29,28,16/0/12/8/8/0/12/4/0,16/0/12/8/8/0/12/4/0,,,no,match
Humpheh__goboy,cdxgen,8,8,12,12,28,28,yes,29,28,8/0/20/8/0/0/8/0/4,8/0/20/8/0/0/8/0/4,,,no,match
Humpheh__goboy,cyclonedx-gomod,8,8,12,12,28,28,yes,29,28,12/0/16/8/4/0/8/4/4,12/0/16/8/4/0/8/4/4,,,no,match
ITcathyh__conexec,syft,1,1,2,2,2,2,yes,3,2,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,,no,match
ITcathyh__conexec,trivy,1,1,2,2,2,2,yes,3,2,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,,no,match
ITcathyh__conexec,cdxgen,1,1,2,2,2,2,yes,3,2,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,,no,match
ITcathyh__conexec,cyclonedx-gomod,1,1,2,2,2,2,yes,3,2,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,,no,match
Jacobbrewer1__patcher,syft,6,6,6,6,97,97,yes,98,97,38/0/59/6/32/0/6/32/0,38/0/59/6/32/0/6/32/0,,,no,match
Jacobbrewer1__patcher,trivy,6,6,6,6,97,97,yes,98,97,35/0/62/6/29/0/6/29/0,35/0/62/6/29/0/6/29/0,,,no,match
Jacobbrewer1__patcher,cdxgen,6,6,6,6,97,97,yes,98,97,35/0/62/6/29/0/6/29/0,35/0/62/6/29/0/6/29/0,,,no,match
Jacobbrewer1__patcher,cyclonedx-gomod,6,6,6,6,97,97,yes,98,97,35/0/62/6/29/0/6/29/0,35/0/62/6/29/0/6/29/0,,,no,match
Jagerente__gocfg,syft,1,1,5,5,7,7,yes,8,7,6/0/1/1/5/0/5/1/0,6/0/1/1/5/0/5/1/0,,,no,match
Jagerente__gocfg,trivy,1,1,5,5,7,7,yes,8,7,7/0/0/1/6/0/5/2/0,7/0/0/1/6/0/5/2/0,,,no,match
Jagerente__gocfg,cdxgen,1,1,5,5,7,7,yes,8,7,1/0/6/1/0/0/1/0/4,1/0/6/1/0/0/1/0/4,,,no,match
Jagerente__gocfg,cyclonedx-gomod,1,1,5,5,7,7,yes,8,7,1/0/6/1/0/0/1/0/4,1/0/6/1/0/0/1/0/4,,,no,match
JohannesKaufmann__html-to-markdown,syft,15,15,15,15,29,29,yes,30,29,20/0/9/15/5/0/15/5/0,20/0/9/15/5/0/15/5/0,,,no,match
JohannesKaufmann__html-to-markdown,trivy,15,15,15,15,29,29,yes,30,29,15/0/14/15/0/0/15/0/0,15/0/14/15/0/0/15/0/0,,,no,match
JohannesKaufmann__html-to-markdown,cdxgen,15,15,15,15,29,29,yes,30,29,15/0/14/15/0/0/15/0/0,15/0/14/15/0/0/15/0/0,,,no,match
JohannesKaufmann__html-to-markdown,cyclonedx-gomod,15,15,15,15,29,29,yes,30,29,15/0/14/15/0/0/15/0/0,15/0/14/15/0/0/15/0/0,,,no,match
Knuspii__CrunchyCleaner,syft,3,3,3,3,15,15,yes,16,15,11/0/4/3/8/0/3/8/0,11/0/4/3/8/0/3/8/0,,,no,match
Knuspii__CrunchyCleaner,trivy,3,3,3,3,15,15,yes,16,15,7/0/8/3/4/0/3/4/0,7/0/8/3/4/0/3/4/0,,,no,match
Knuspii__CrunchyCleaner,cdxgen,3,3,3,3,15,15,yes,16,15,3/0/12/3/0/0/3/0/0,3/0/12/3/0/0/3/0/0,,,no,match
Knuspii__CrunchyCleaner,cyclonedx-gomod,3,3,3,3,15,15,yes,16,15,7/0/8/3/4/0/3/4/0,7/0/8/3/4/0/3/4/0,,,no,match
KusionStack__kusion,syft,325,325,334,334,805,805,yes,806,805,396/0/409/325/71/0/334/62/0,396/0/409/325/71/0/334/62/0,,,no,match
KusionStack__kusion,trivy,325,325,334,334,805,805,yes,806,805,350/0/455/325/25/0/334/16/0,350/0/455/325/25/0/334/16/0,,,no,match
KusionStack__kusion,cdxgen,325,325,334,334,805,805,yes,806,805,325/0/480/325/0/0/325/0/9,325/0/480/325/0/0/325/0/9,,,no,match
KusionStack__kusion,cyclonedx-gomod,325,325,334,334,805,805,yes,806,805,332/0/473/322/10/3/322/10/12,332/0/473/322/10/3/322/10/12,,,no,match
Lifailon__lazyjournal,syft,10,10,10,10,21,21,yes,21,20,12/0/9/10/2/0/10/2/0,11/0/9/10/1/0/10/1/0,12/0/9/10/2/0/10/2/0,,predicted,july_main_bug
Lifailon__lazyjournal,trivy,10,10,10,10,21,21,yes,21,20,11/0/10/10/1/0/10/1/0,10/0/10/10/0/0/10/0/0,11/0/10/10/1/0/10/1/0,,predicted,july_main_bug
Lifailon__lazyjournal,cdxgen,10,10,10,10,21,21,yes,21,20,10/0/11/10/0/0/10/0/0,10/0/10/10/0/0/10/0/0,10/0/11/10/0/0/10/0/0,,predicted,july_main_bug
Lifailon__lazyjournal,cyclonedx-gomod,10,10,10,10,21,21,yes,21,20,10/0/11/10/0/0/10/0/0,10/0/10/10/0/0/10/0/0,10/0/11/10/0/0/10/0/0,,predicted,july_main_bug
MarvinJWendt__testza,syft,16,16,16,16,28,28,yes,29,28,19/0/9/16/3/0/16/3/0,19/0/9/16/3/0/16/3/0,,,no,match
MarvinJWendt__testza,trivy,16,16,16,16,28,28,yes,29,28,16/0/12/16/0/0/16/0/0,16/0/12/16/0/0/16/0/0,,,no,match
MarvinJWendt__testza,cdxgen,16,16,16,16,28,28,yes,29,28,16/0/12/16/0/0/16/0/0,16/0/12/16/0/0/16/0/0,,,no,match
MarvinJWendt__testza,cyclonedx-gomod,16,16,16,16,28,28,yes,29,28,16/0/12/16/0/0/16/0/0,16/0/12/16/0/0/16/0/0,,,no,match
MatProGo-dev__MatProInterface.go,syft,2,2,2,2,18,18,yes,19,18,2/0/16/2/0/0/2/0/0,2/0/16/2/0/0/2/0/0,,,no,match
MatProGo-dev__MatProInterface.go,trivy,2,2,2,2,18,18,yes,19,18,2/0/16/2/0/0/2/0/0,2/0/16/2/0/0/2/0/0,,,no,match
MatProGo-dev__MatProInterface.go,cdxgen,2,2,2,2,18,18,yes,19,18,2/0/16/2/0/0/2/0/0,2/0/16/2/0/0/2/0/0,,,no,match
MatProGo-dev__MatProInterface.go,cyclonedx-gomod,2,2,2,2,18,18,yes,19,18,2/0/16/2/0/0/2/0/0,2/0/16/2/0/0/2/0/0,,,no,match
MaxHalford__eaopt,syft,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
MaxHalford__eaopt,trivy,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
MaxHalford__eaopt,cdxgen,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
MaxHalford__eaopt,cyclonedx-gomod,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
MonaxGT__gomalshare,syft,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
