repo,tool,july,scorer_main,scorer_main_empty,verdict
Allenxuxu__gev,syft,31/0/32/19/12/0/23/8/0,31/0/32/19/12/0/23/8/0,,match
Allenxuxu__gev,trivy,63/0/0/19/44/0/23/40/0,63/0/0/19/44/0/23/40/0,,match
Allenxuxu__gev,cdxgen,19/0/44/19/0/0/19/0/4,19/0/44/19/0/0/19/0/4,,match
Allenxuxu__gev,cyclonedx-gomod,19/0/44/19/0/0/19/0/4,19/0/44/19/0/0/19/0/4,,match
Allra-Fintech__mdv,syft,9/0/6/6/3/0/6/3/0,9/0/6/6/3/0/6/3/0,,match
Allra-Fintech__mdv,trivy,6/0/9/6/0/0/6/0/0,6/0/9/6/0/0/6/0/0,,match
Allra-Fintech__mdv,cdxgen,6/0/9/6/0/0/6/0/0,6/0/9/6/0/0/6/0/0,,match
Allra-Fintech__mdv,cyclonedx-gomod,6/0/9/6/0/0/6/0/0,6/0/9/6/0/0/6/0/0,,match
Andrew-M-C__go.jsonvalue,syft,4/0/6/1/3/0/4/0/0,4/0/6/1/3/0/4/0/0,,match
Andrew-M-C__go.jsonvalue,trivy,10/0/0/1/9/0/4/6/0,10/0/0/1/9/0/4/6/0,,match
Andrew-M-C__go.jsonvalue,cdxgen,1/0/9/1/0/0/1/0/3,1/0/9/1/0/0/1/0/3,,match
Andrew-M-C__go.jsonvalue,cyclonedx-gomod,1/0/9/1/0/0/1/0/3,1/0/9/1/0/0/1/0/3,,match
Antonboom__testifylint,syft,6/16/2/3/19/0/3/19/0,6/16/2/3/19/0/3/19/0,,match
Antonboom__testifylint,trivy,4/12/4/3/13/0/3/13/0,4/12/4/3/13/0/3/13/0,,match
Antonboom__testifylint,cdxgen,4/11/4/3/12/0/3/12/0,4/11/4/3/12/0/3/12/0,,match
Antonboom__testifylint,cyclonedx-gomod,2/0/6/2/0/1/2/0/1,2/0/6/2/0/1/2/0/1,,match
Antonito__gfile,syft,40/0/11/31/9/0/35/5/0,40/0/11/31/9/0/35/5/0,,match
Antonito__gfile,trivy,36/0/15/31/5/0/35/1/0,36/0/15/31/5/0/35/1/0,,match
Antonito__gfile,cdxgen,31/0/20/31/0/0/31/0/4,31/0/20/31/0/0/31/0/4,,match
Antonito__gfile,cyclonedx-gomod,32/0/19/31/1/0/31/1/4,32/0/19/31/1/0/31/1/4,,match
AppsFlyer__go-sundheit,syft,10/5/1/1/14/0/7/8/0,10/5/1/1/14/0/7/8/0,,match
AppsFlyer__go-sundheit,trivy,9/3/2/1/11/0/7/5/0,9/3/2/1/11/0/7/5/0,,match
AppsFlyer__go-sundheit,cdxgen,1/1/10/1/1/0/1/1/6,1/1/10/1/1/0/1/1/6,,match
AppsFlyer__go-sundheit,cyclonedx-gomod,1/0/10/1/0/0/1/0/6,1/0/10/1/0/0/1/0/6,,match
Balaji01-4D__pgxcli,syft,130/0/34/63/67/0/66/64/0,130/0/34/63/67/0/66/64/0,,match
Balaji01-4D__pgxcli,trivy,112/0/52/63/49/0/66/46/0,112/0/52/63/49/0/66/46/0,,match
Balaji01-4D__pgxcli,cdxgen,63/0/101/63/0/0/63/0/3,63/0/101/63/0/0/63/0/3,,match
Balaji01-4D__pgxcli,cyclonedx-gomod,64/0/100/63/1/0/63/1/3,64/0/100/63/1/0/63/1/3,,match
Bilibili__discovery,syft,39/0/172/23/16/0/27/12/0,39/0/172/23/16/0/27/12/0,,match
Bilibili__discovery,trivy,211/0/0/23/188/0/27/184/0,211/0/0/23/188/0/27/184/0,,match
Bilibili__discovery,cdxgen,23/0/188/23/0/0/23/0/4,23/0/188/23/0/0/23/0/4,,match
Bilibili__discovery,cyclonedx-gomod,26/0/185/23/3/0/23/3/4,26/0/185/23/3/0/23/3/4,,match
Boeing__config-file-validator,syft,66/0/34/42/24/0/47/19/0,66/0/34/42/24/0/47/19/0,,match
Boeing__config-file-validator,trivy,48/0/52/42/6/0/47/1/0,48/0/52/42/6/0/47/1/0,,match
Boeing__config-file-validator,cdxgen,42/0/58/42/0/0/42/0/5,42/0/58/42/0/0/42/0/5,,match
Boeing__config-file-validator,cyclonedx-gomod,44/0/56/42/2/0/43/1/4,44/0/56/42/2/0/43/1/4,,match
Breeze0806__go-etl,syft,75/0/28/54/21/0/54/21/0,75/0/28/54/21/0/54/21/0,,match
Breeze0806__go-etl,trivy,55/0/48/54/1/0/54/1/0,55/0/48/54/1/0/54/1/0,,match
Breeze0806__go-etl,cdxgen,54/0/49/54/0/0/54/0/0,54/0/49/54/0/0/54/0/0,,match
Breeze0806__go-etl,cyclonedx-gomod,55/0/48/54/1/0/54/1/0,55/0/48/54/1/0/54/1/0,,match
BrianLeishman__go-imap,syft,30/0/7/26/4/0/26/4/0,30/0/7/26/4/0/26/4/0,,match
BrianLeishman__go-imap,trivy,26/0/11/26/0/0/26/0/0,26/0/11/26/0/0/26/0/0,,match
BrianLeishman__go-imap,cdxgen,26/0/11/26/0/0/26/0/0,26/0/11/26/0/0/26/0/0,,match
BrianLeishman__go-imap,cyclonedx-gomod,26/0/11/26/0/0/26/0/0,26/0/11/26/0/0/26/0/0,,match
C2FO__vfs,syft,131/9/137/87/53/0/94/46/0,131/9/137/87/53/0/94/46/0,,match
C2FO__vfs,trivy,97/6/171/87/16/0/94/9/0,97/6/171/87/16/0/94/9/0,,match
C2FO__vfs,cdxgen,90/3/178/87/6/0/89/4/5,90/3/178/87/6/0/89/4/5,,match
C2FO__vfs,cyclonedx-gomod,87/0/181/86/1/1/86/1/8,87/0/181/86/1/1/86/1/8,,match
CalebQ42__bbConvert,syft,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
CalebQ42__bbConvert,trivy,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
CalebQ42__bbConvert,cdxgen,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
CalebQ42__bbConvert,cyclonedx-gomod,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
ChainSafe__gossamer,syft,241/18/324/190/69/3/193/66/3,241/18/324/190/69/3/193/66/3,,match
ChainSafe__gossamer,trivy,212/16/353/190/38/3/193/35/3,212/16/353/190/38/3/193/35/3,,match
ChainSafe__gossamer,cdxgen,198/7/367/193/12/0/193/12/3,198/7/367/193/12/0/193/12/3,,match
ChainSafe__gossamer,cyclonedx-gomod,189/3/376/181/11/12/181/11/15,189/3/376/181/11/12/181/11/15,,match
ClickHouse__clickhouse-go,syft,77/0/28/55/22/0/56/21/0,77/0/28/55/22/0/56/21/0,,match
ClickHouse__clickhouse-go,trivy,63/0/42/55/8/0/56/7/0,63/0/42/55/8/0/56/7/0,,match
ClickHouse__clickhouse-go,cdxgen,55/0/50/55/0/0/55/0/1,55/0/50/55/0/0/55/0/1,,match
ClickHouse__clickhouse-go,cyclonedx-gomod,62/0/43/55/7/0/55/7/1,62/0/43/55/7/0/55/7/1,,match
Clivern__Beaver,syft,67/0/105/41/26/0/41/26/0,67/0/105/41/26/0/41/26/0,,match
Clivern__Beaver,trivy,55/0/117/41/14/0/41/14/0,55/0/117/41/14/0/41/14/0,,match
Clivern__Beaver,cdxgen,41/0/131/41/0/0/41/0/0,41/0/131/41/0/0/41/0/0,,match
Clivern__Beaver,cyclonedx-gomod,51/0/121/41/10/0/41/10/0,51/0/121/41/10/0/41/10/0,,match
CloudyKit__jet,syft,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
CloudyKit__jet,trivy,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
CloudyKit__jet,cdxgen,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
CloudyKit__jet,cyclonedx-gomod,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
Code-Hex__Neo-cowsay,syft,5/16/0/3/18/0/4/17/0,5/16/0/3/18/0/4/17/0,,match
Code-Hex__Neo-cowsay,trivy,5/22/0/3/24/0/4/23/0,5/22/0/3/24/0/4/23/0,,match
Code-Hex__Neo-cowsay,cdxgen,3/13/2/3/13/0/3/13/1,3/13/2/3/13/0/3/13/1,,match
Code-Hex__Neo-cowsay,cyclonedx-gomod,3/0/2/3/0/0/3/0/1,3/0/2/3/0/0/3/0/1,,match
Colin4k1024__Aetheris,syft,153/15/114/124/44/0/124/44/0,153/15/114/124/44/0/124/44/0,,match
Colin4k1024__Aetheris,trivy,132/13/135/124/21/0/124/21/0,132/13/135/124/21/0/124/21/0,,match
Colin4k1024__Aetheris,cdxgen,125/11/142/124/12/0/124/12/0,125/11/142/124/12/0/124/12/0,,match
Colin4k1024__Aetheris,cyclonedx-gomod,126/0/141/121/5/3/121/5/3,126/0/141/121/5/3/121/5/3,,match
CovenantSQL__CovenantSQL,syft,126/1/112/86/41/1/91/36/1,126/1/112/86/41/1/91/36/1,,match
CovenantSQL__CovenantSQL,trivy,237/1/1/86/152/1/91/147/1,237/1/1/86/152/1/91/147/1,,match
CovenantSQL__CovenantSQL,cdxgen,87/0/151/87/0/0/87/0/5,87/0/151/87/0/0/87/0/5,,match
CovenantSQL__CovenantSQL,cyclonedx-gomod,93/1/145/86/8/1/86/8/6,93/1/145/86/8/1/86/8/6,,match
Crocmagnon__fatcontext,syft,4/0/4/3/1/0/3/1/0,4/0/4/3/1/0/3/1/0,,match
Crocmagnon__fatcontext,trivy,3/0/5/3/0/0/3/0/0,3/0/5/3/0/0/3/0/0,,match
Crocmagnon__fatcontext,cdxgen,3/0/5/3/0/0/3/0/0,3/0/5/3/0/0/3/0/0,,match
Crocmagnon__fatcontext,cyclonedx-gomod,2/0/6/2/0/1/2/0/1,2/0/6/2/0/1/2/0/1,,match
DATA-DOG__go-sqlmock,syft,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
DATA-DOG__go-sqlmock,trivy,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
DATA-DOG__go-sqlmock,cdxgen,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
DATA-DOG__go-sqlmock,cyclonedx-gomod,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
DMcP89__tinycare-tui,syft,51/0/13/29/22/0/31/20/0,51/0/13/29/22/0/31/20/0,,match
DMcP89__tinycare-tui,trivy,36/0/28/29/7/0/31/5/0,36/0/28/29/7/0/31/5/0,,match
DMcP89__tinycare-tui,cdxgen,29/0/35/29/0/0/29/0/2,29/0/35/29/0/0/29/0/2,,match
DMcP89__tinycare-tui,cyclonedx-gomod,33/0/31/29/4/0/29/4/2,33/0/31/29/4/0/29/4/2,,match
DarthPestilane__easytcp,syft,20/0/10/11/9/0/15/5/0,20/0/10/11/9/0/15/5/0,,match
DarthPestilane__easytcp,trivy,18/0/12/11/7/0/15/3/0,18/0/12/11/7/0/15/3/0,,match
DarthPestilane__easytcp,cdxgen,11/0/19/11/0/0/11/0/4,11/0/19/11/0/0/11/0/4,,match
DarthPestilane__easytcp,cyclonedx-gomod,14/0/16/11/3/0/11/3/4,14/0/16/11/3/0/11/3/4,,match
DeRuina__timberjack,syft,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,match
DeRuina__timberjack,trivy,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,match
DeRuina__timberjack,cdxgen,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,match
