module,syft,trivy,cdxgen,cyclonedx-gomod,total
github.com/jackc/pgx/v4,6,5,1,0,12
github.com/hashicorp/errwrap,5,6,1,0,12
github.com/hashicorp/go-multierror,5,6,1,0,12
github.com/valyala/bytebufferpool,4,5,3,0,12
modernc.org/libc,4,5,3,0,12
modernc.org/memory,4,5,3,0,12
modernc.org/sqlite,4,5,3,0,12
github.com/google/shlex,5,6,1,0,12
github.com/masterminds/goutils,4,4,1,2,11
github.com/masterminds/sprig/v3,4,4,1,2,11
github.com/mailru/easyjson,4,4,2,1,11
github.com/yuin/gopher-lua,5,5,1,0,11
mvdan.cc/gofumpt,4,4,2,1,11
github.com/h2non/parth,5,5,1,0,11
gopkg.in/h2non/gock.v1,5,5,1,0,11
github.com/google/renameio,0,11,0,0,11
github.com/envoyproxy/go-control-plane,5,6,0,0,11
github.com/go-kit/kit,0,11,0,0,11
github.com/kr/logfmt,0,11,0,0,11
github.com/mwitkow/go-conntrack,0,11,0,0,11
github.com/rcrowley/go-metrics,3,6,2,0,11
github.com/oklog/ulid/v2,5,3,2,1,11
cloud.google.com/go/longrunning,9,1,1,0,11
github.com/google/martian/v3,7,4,0,0,11
github.com/go-openapi/jsonreference,5,3,2,1,11
github.com/go-openapi/swag,5,3,2,1,11
github.com/go-openapi/swag/cmdutils,5,3,2,1,11
github.com/go-openapi/swag/conv,5,3,2,1,11
github.com/go-openapi/swag/fileutils,5,3,2,1,11
github.com/go-openapi/swag/jsonutils,5,3,2,1,11
github.com/go-openapi/swag/loading,5,3,2,1,11
github.com/go-openapi/swag/mangling,5,3,2,1,11
github.com/go-openapi/swag/netutils,5,3,2,1,11
github.com/go-openapi/swag/stringutils,5,3,2,1,11
github.com/go-openapi/swag/typeutils,5,3,2,1,11
github.com/go-openapi/swag/yamlutils,5,3,2,1,11
github.com/zeebo/assert,11,0,0,0,11
modernc.org/opt,9,2,0,0,11
modernc.org/token,9,2,0,0,11
github.com/jackc/chunkreader/v2,5,5,1,0,11
github.com/jackc/pgconn,5,5,1,0,11
github.com/jackc/pgio,5,5,1,0,11
github.com/jackc/pgproto3/v2,5,5,1,0,11
github.com/jackc/pgtype,5,5,1,0,11
cloud.google.com/go/storage,4,6,1,0,11
github.com/hashicorp/consul/sdk,5,6,0,0,11
github.com/hashicorp/memberlist,5,6,0,0,11
github.com/sean-/seed,5,6,0,0,11
github.com/pierrec/lz4/v4,4,4,3,0,11
github.com/xdg-go/scram,4,4,3,0,11
github.com/xdg-go/stringprep,4,4,3,0,11
github.com/youmark/pkcs8,4,4,3,0,11
github.com/mschoch/smat,3,4,0,4,11
github.com/redis/go-redis/v9,5,3,2,0,10
gorm.io/driver/sqlite,6,4,0,0,10
github.com/chzyer/logex,3,7,0,0,10
github.com/chzyer/test,3,7,0,0,10
github.com/rivo/uniseg,4,3,3,0,10
github.com/bsm/ginkgo/v2,10,0,0,0,10
github.com/bsm/gomega,10,0,0,0,10
github.com/go-chi/chi/v5,4,3,3,0,10
github.com/hexops/gotextdiff,9,1,0,0,10
github.com/moby/go-archive,5,5,0,0,10
github.com/coreos/go-semver,2,8,0,0,10
github.com/gorilla/websocket,3,6,1,0,10
github.com/hpcloud/tail,1,9,0,0,10
github.com/jcmturner/gofork,3,5,2,0,10
gopkg.in/alecthomas/kingpin.v2,0,10,0,0,10
gopkg.in/fsnotify.v1,1,9,0,0,10
github.com/go-playground/assert/v2,9,1,0,0,10
go.opentelemetry.io/otel/exporters/otlp/otlptrace,7,2,1,0,10
github.com/gin-contrib/sse,3,4,3,0,10
github.com/gin-gonic/gin,3,4,3,0,10
github.com/go-playground/locales,3,4,3,0,10
github.com/go-playground/universal-translator,3,4,3,0,10
github.com/leodido/go-urn,3,4,3,0,10
github.com/spaolacci/murmur3,2,7,1,0,10
rsc.io/binaryregexp,1,8,1,0,10
github.com/go-openapi/analysis,4,3,2,1,10
github.com/go-openapi/errors,4,3,2,1,10
github.com/go-openapi/loads,4,3,2,1,10
github.com/go-openapi/runtime,4,3,2,1,10
github.com/go-openapi/spec,4,3,2,1,10
github.com/go-openapi/strfmt,4,3,2,1,10
github.com/go-openapi/validate,4,3,2,1,10
github.com/hashicorp/go-sockaddr,5,5,0,0,10
github.com/hashicorp/golang-lru,3,7,0,0,10
github.com/gofrs/uuid,5,4,1,0,10
github.com/bytedance/sonic/loader,4,4,1,1,10
github.com/cloudwego/base64x,4,4,1,1,10
gopkg.in/ini.v1,4,5,1,0,10
github.com/docker/cli,4,4,1,1,10
github.com/alicebob/miniredis/v2,4,4,1,0,9
github.com/mattn/goveralls,3,3,1,2,9
github.com/aymanbagabas/go-udiff,9,0,0,0,9
github.com/charmbracelet/x/exp/golden,9,0,0,0,9
github.com/hashicorp/hcl,3,6,0,0,9
github.com/alecthomas/assert/v2,9,0,0,0,9
github.com/moby/moby/api,5,4,0,0,9
github.com/moby/moby/client,5,4,0,0,9
github.com/eapache/queue,2,6,1,0,9
github.com/godbus/dbus/v5,2,6,0,1,9
github.com/grpc-ecosystem/grpc-gateway,1,8,0,0,9
github.com/jonboulle/clockwork,2,7,0,0,9
github.com/urfave/cli,2,5,1,1,9
cloud.google.com/go/pubsub/v2,3,3,3,0,9
github.com/aws/aws-sdk-go-v2/service/sqs,3,3,3,0,9
go.opentelemetry.io/otel/exporters/stdout/stdoutmetric,5,3,1,0,9
github.com/aws/aws-sdk-go,4,4,1,0,9
github.com/jmespath/go-jmespath,4,4,1,0,9
github.com/xyproto/randomstring,9,0,0,0,9
github.com/go-playground/validator/v10,3,3,3,0,9
github.com/quic-go/qpack,3,3,3,0,9
go.mongodb.org/mongo-driver/v2,3,3,3,0,9
github.com/google/martian,0,9,0,0,9
github.com/hashicorp/golang-lru/v2,8,1,0,0,9
github.com/coreos/go-systemd,1,8,0,0,9
github.com/mitchellh/go-testing-interface,3,6,0,0,9
github.com/protonmail/go-crypto,4,3,2,0,9
github.com/cloudflare/circl,4,3,2,0,9
github.com/klauspost/asmfmt,3,3,0,3,9
github.com/minio/asm2plan9s,3,3,0,3,9
github.com/minio/c2goasm,3,3,0,3,9
github.com/jackc/pgmock,6,3,0,0,9
github.com/go-quicktest/qt,8,0,0,0,8
github.com/tidwall/sjson,6,2,0,0,8
github.com/urfave/cli/v2,2,4,1,1,8
github.com/xeipuuv/gojsonpointer,3,3,1,1,8
github.com/xeipuuv/gojsonreference,3,3,1,1,8
github.com/xeipuuv/gojsonschema,3,3,1,1,8
github.com/xrash/smetrics,3,3,1,1,8
github.com/jmoiron/sqlx,3,3,2,0,8
go.uber.org/tools,1,5,1,1,8
github.com/fortytw2/leaktest,5,3,0,0,8
github.com/ghodss/yaml,1,7,0,0,8
github.com/rogpeppe/fastuuid,0,8,0,0,8
github.com/golang-jwt/jwt/v5,6,1,1,0,8
github.com/matttproud/golang_protobuf_extensions,1,7,0,0,8
github.com/cockroachdb/apd,4,4,0,0,8
github.com/denisenkom/go-mssqldb,2,4,2,0,8
github.com/jinzhu/copier,3,2,2,1,8
github.com/niemeyer/pretty,5,2,1,0,8
modernc.org/cc/v4,8,0,0,0,8
modernc.org/ccgo/v4,8,0,0,0,8
modernc.org/fileutil,8,0,0,0,8
modernc.org/gc/v2,8,0,0,0,8
modernc.org/gc/v3,8,0,0,0,8
modernc.org/goabi0,8,0,0,0,8
modernc.org/sortutil,8,0,0,0,8
github.com/golang-sql/sqlexp,4,3,1,0,8
cloud.google.com/go/datastore,1,6,1,0,8
github.com/oneofone/xxhash,2,5,1,0,8
github.com/ibm/sarama,3,3,2,0,8
github.com/cncf/xds/go,5,2,1,0,8
github.com/cyphar/filepath-securejoin,3,4,1,0,8
github.com/envoyproxy/go-control-plane/envoy,5,2,1,0,8
github.com/google/go-querystring,3,3,2,0,8
github.com/jcmturner/aescts/v2,3,3,2,0,8
github.com/jcmturner/dnsutils/v2,3,3,2,0,8
github.com/jcmturner/gokrb5/v8,3,3,2,0,8
github.com/jcmturner/rpc/v2,3,3,2,0,8
github.com/shirou/gopsutil/v3,5,3,0,0,8
github.com/opencontainers/runc,3,4,1,0,8
github.com/containerd/continuity,3,4,1,0,8
github.com/imdario/mergo,3,4,0,1,8
github.com/99designs/go-keychain,3,2,1,2,8
github.com/danieljoos/wincred,3,2,1,2,8
golang.org/x/exp/typeparams,3,3,1,1,8
k8s.io/klog/v2,3,3,2,0,8
github.com/buger/jsonparser,3,3,2,0,8
github.com/gkampitakis/ciinfo,6,1,0,0,7
github.com/gkampitakis/go-diff,6,1,0,0,7
