repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july_adj,gt_all_now,imp_tp_july,imp_tp_now,imp_fp_july,imp_fp_now,imp_fn_july,imp_fn_now,impT_tp_july,impT_tp_now,impT_fp_july,impT_fp_now,impT_fn_july,impT_fn_now,all_tp_july,all_tp_now,all_fp_july,all_fp_now,all_fn_july,all_fn_now,match
Eun__go-hit,cyclonedx-gomod,30,30,35,35,52,52,30,30,0,0,0,0,30,30,0,0,5,5,30,30,0,0,22,22,yes
Evertras__bubble-table,syft,19,19,23,23,35,35,19,19,8,8,0,0,23,23,4,4,0,0,27,27,0,0,8,8,yes
Evertras__bubble-table,trivy,19,19,23,23,35,35,19,19,4,4,0,0,23,23,0,0,0,0,23,23,0,0,12,12,yes
Evertras__bubble-table,cdxgen,19,19,23,23,35,35,19,19,0,0,0,0,19,19,0,0,4,4,19,19,0,0,16,16,yes
Evertras__bubble-table,cyclonedx-gomod,19,19,23,23,35,35,19,19,0,0,0,0,19,19,0,0,4,4,19,19,0,0,16,16,yes
FiloSottile__age,syft,6,6,9,9,17,17,6,6,3,3,0,0,9,9,0,0,0,0,9,9,0,0,8,8,yes
FiloSottile__age,trivy,6,6,9,9,17,17,6,6,3,3,0,0,9,9,0,0,0,0,9,9,0,0,8,8,yes
FiloSottile__age,cdxgen,6,6,9,9,17,17,6,6,0,0,0,0,6,6,0,0,3,3,6,6,0,0,11,11,yes
FiloSottile__age,cyclonedx-gomod,6,6,9,9,17,17,6,6,0,0,0,0,6,6,0,0,3,3,6,6,0,0,11,11,yes
Forceu__gokapi,syft,30,30,34,34,114,114,30,30,41,41,0,0,34,34,37,37,0,0,71,71,0,0,43,43,yes
Forceu__gokapi,trivy,30,30,34,34,114,114,30,30,19,19,0,0,34,34,15,15,0,0,49,49,0,0,65,65,yes
Forceu__gokapi,cdxgen,30,30,34,34,114,114,30,30,19,19,0,0,34,34,15,15,0,0,49,49,0,0,65,65,yes
Forceu__gokapi,cyclonedx-gomod,30,30,34,34,114,114,30,30,11,11,0,0,30,30,11,11,4,4,41,41,0,0,73,73,yes
FrancoLiberali__cql,syft,16,16,33,33,113,113,16,16,65,65,0,0,33,33,48,48,0,0,80,80,1,1,33,33,yes
FrancoLiberali__cql,trivy,16,16,33,33,113,113,16,16,48,48,0,0,33,33,31,31,0,0,63,63,1,1,50,50,yes
FrancoLiberali__cql,cdxgen,16,16,33,33,113,113,16,16,22,22,0,0,17,17,21,21,16,16,38,38,0,0,75,75,yes
FrancoLiberali__cql,cyclonedx-gomod,16,16,33,33,113,113,12,12,31,31,4,4,13,13,30,30,20,20,42,42,1,1,71,71,yes
FreeLeh__GoFreeDB,syft,16,16,22,22,93,93,16,16,13,13,0,0,22,22,7,7,0,0,29,29,0,0,64,64,yes
FreeLeh__GoFreeDB,trivy,16,16,22,22,93,93,16,16,7,7,0,0,22,22,1,1,0,0,23,23,0,0,70,70,yes
FreeLeh__GoFreeDB,cdxgen,16,16,22,22,93,93,16,16,0,0,0,0,16,16,0,0,6,6,16,16,0,0,77,77,yes
FreeLeh__GoFreeDB,cyclonedx-gomod,16,16,22,22,93,93,16,16,1,1,0,0,16,16,1,1,6,6,17,17,0,0,76,76,yes
Fs02__go-todo-backend,syft,16,16,17,17,51,51,16,16,24,24,0,0,17,17,23,23,0,0,40,40,0,0,11,11,yes
Fs02__go-todo-backend,trivy,16,16,17,17,51,51,16,16,1,1,0,0,17,17,0,0,0,0,17,17,0,0,34,34,yes
Fs02__go-todo-backend,cdxgen,16,16,17,17,51,51,16,16,1,1,0,0,17,17,0,0,0,0,17,17,0,0,34,34,yes
Fs02__go-todo-backend,cyclonedx-gomod,16,16,17,17,51,51,15,15,0,0,1,1,15,15,0,0,2,2,15,15,0,0,36,36,yes
Fs02__grimoire,syft,11,11,12,12,12,12,11,11,1,1,0,0,12,12,0,0,0,0,12,12,0,0,0,0,yes
Fs02__grimoire,trivy,11,11,12,12,12,12,11,11,1,1,0,0,12,12,0,0,0,0,12,12,0,0,0,0,yes
Fs02__grimoire,cdxgen,11,11,12,12,12,12,11,11,0,0,0,0,11,11,0,0,1,1,11,11,0,0,1,1,yes
Fs02__grimoire,cyclonedx-gomod,11,11,12,12,12,12,11,11,0,0,0,0,11,11,0,0,1,1,11,11,0,0,1,1,yes
GiGurra__boa,syft,2,2,2,2,7,7,2,2,1,1,0,0,2,2,1,1,0,0,3,3,0,0,4,4,yes
GiGurra__boa,trivy,2,2,2,2,7,7,2,2,1,1,0,0,2,2,1,1,0,0,3,3,0,0,4,4,yes
GiGurra__boa,cdxgen,2,2,2,2,7,7,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,5,5,yes
GiGurra__boa,cyclonedx-gomod,2,2,2,2,7,7,2,2,1,1,0,0,2,2,1,1,0,0,3,3,0,0,4,4,yes
Gituser143__cryptgo,syft,26,26,26,26,183,183,26,26,12,12,0,0,26,26,12,12,0,0,38,38,0,0,145,145,yes
Gituser143__cryptgo,trivy,26,26,26,26,183,183,26,26,157,157,0,0,26,26,157,157,0,0,183,183,0,0,0,0,yes
Gituser143__cryptgo,cdxgen,26,26,26,26,183,183,26,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,157,157,yes
Gituser143__cryptgo,cyclonedx-gomod,26,26,26,26,183,183,26,26,1,1,0,0,26,26,1,1,0,0,27,27,0,0,156,156,yes
GoogleCloudPlatform__gcloud-golang,syft,31,31,47,47,196,196,31,31,300,300,0,0,47,47,284,284,0,0,185,185,146,146,11,11,yes
GoogleCloudPlatform__gcloud-golang,trivy,31,31,47,47,196,196,31,31,280,280,0,0,47,47,264,264,0,0,174,174,137,137,22,22,yes
GoogleCloudPlatform__gcloud-golang,cdxgen,31,31,47,47,196,196,31,31,80,80,0,0,47,47,64,64,0,0,64,64,47,47,132,132,yes
GoogleCloudPlatform__gcloud-golang,cyclonedx-gomod,31,31,47,47,196,196,30,30,0,0,1,1,30,30,0,0,17,17,30,30,0,0,166,166,yes
GuilhermeCaruso__anko,syft,3,3,3,3,14,14,3,3,3,3,0,0,3,3,3,3,0,0,5,5,1,1,9,9,yes
GuilhermeCaruso__anko,trivy,3,3,3,3,14,14,3,3,13,13,0,0,3,3,13,13,0,0,14,14,2,2,0,0,yes
GuilhermeCaruso__anko,cdxgen,3,3,3,3,14,14,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,11,11,yes
GuilhermeCaruso__anko,cyclonedx-gomod,3,3,3,3,14,14,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,11,11,yes
GuilhermeCaruso__mooncake,syft,4,4,4,4,10,10,4,4,1,1,0,0,4,4,1,1,0,0,5,5,0,0,5,5,yes
GuilhermeCaruso__mooncake,trivy,4,4,4,4,10,10,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,6,6,yes
GuilhermeCaruso__mooncake,cdxgen,4,4,4,4,10,10,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,6,6,yes
GuilhermeCaruso__mooncake,cyclonedx-gomod,4,4,4,4,10,10,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,6,6,yes
Guitarbum722__align,syft,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
Guitarbum722__align,trivy,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
Guitarbum722__align,cdxgen,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
Guitarbum722__align,cyclonedx-gomod,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
HDT3213__rdb,syft,7,7,7,7,18,18,7,7,5,5,0,0,7,7,5,5,0,0,12,12,0,0,6,6,yes
HDT3213__rdb,trivy,7,7,7,7,18,18,7,7,1,1,0,0,7,7,1,1,0,0,8,8,0,0,10,10,yes
HDT3213__rdb,cdxgen,7,7,7,7,18,18,7,7,0,0,0,0,7,7,0,0,0,0,7,7,0,0,11,11,yes
HDT3213__rdb,cyclonedx-gomod,7,7,7,7,18,18,7,7,1,1,0,0,7,7,1,1,0,0,8,8,0,0,10,10,yes
Haraj-backend__hex-monscape,syft,16,16,20,20,53,53,16,16,12,12,0,0,20,20,8,8,0,0,28,28,0,0,25,25,yes
Haraj-backend__hex-monscape,trivy,16,16,20,20,53,53,16,16,6,6,0,0,20,20,2,2,0,0,22,22,0,0,31,31,yes
Haraj-backend__hex-monscape,cdxgen,16,16,20,20,53,53,16,16,0,0,0,0,16,16,0,0,4,4,16,16,0,0,37,37,yes
Haraj-backend__hex-monscape,cyclonedx-gomod,16,16,20,20,53,53,16,16,0,0,0,0,16,16,0,0,4,4,16,16,0,0,37,37,yes
