repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july_adj,gt_all_now,imp_tp_july,imp_tp_now,imp_fp_july,imp_fp_now,imp_fn_july,imp_fn_now,impT_tp_july,impT_tp_now,impT_fp_july,impT_fp_now,impT_fn_july,impT_fn_now,all_tp_july,all_tp_now,all_fp_july,all_fp_now,all_fn_july,all_fn_now,match
Ad3bay0c__routex,trivy,33,33,39,39,89,89,33,33,6,6,0,0,39,39,0,0,0,0,39,39,0,0,50,50,yes
Ad3bay0c__routex,cdxgen,33,33,39,39,89,89,33,33,0,0,0,0,33,33,0,0,6,6,33,33,0,0,56,56,yes
Ad3bay0c__routex,cyclonedx-gomod,33,33,39,39,89,89,33,33,0,0,0,0,33,33,0,0,6,6,33,33,0,0,56,56,yes
AfterShip__email-verifier,syft,4,4,10,10,22,22,4,4,10,10,0,0,10,10,4,4,0,0,14,14,0,0,8,8,yes
AfterShip__email-verifier,trivy,4,4,10,10,22,22,4,4,8,8,0,0,10,10,2,2,0,0,12,12,0,0,10,10,yes
AfterShip__email-verifier,cdxgen,4,4,10,10,22,22,4,4,0,0,0,0,4,4,0,0,6,6,4,4,0,0,18,18,yes
AfterShip__email-verifier,cyclonedx-gomod,4,4,10,10,22,22,4,4,0,0,0,0,4,4,0,0,6,6,4,4,0,0,18,18,yes
Alejandro-M-P__git-courer,syft,45,45,49,49,74,74,45,45,18,18,0,0,49,49,14,14,0,0,63,63,0,0,11,11,yes
Alejandro-M-P__git-courer,trivy,45,45,49,49,74,74,45,45,7,7,0,0,49,49,3,3,0,0,52,52,0,0,22,22,yes
Alejandro-M-P__git-courer,cdxgen,45,45,49,49,74,74,45,45,0,0,0,0,45,45,0,0,4,4,45,45,0,0,29,29,yes
Alejandro-M-P__git-courer,cyclonedx-gomod,45,45,49,49,74,74,45,45,2,2,0,0,45,45,2,2,4,4,47,47,0,0,27,27,yes
AllenDang__cimgui-go,syft,8,8,8,8,30,30,8,8,21,21,0,0,8,8,21,21,0,0,14,14,15,15,16,16,yes
AllenDang__cimgui-go,trivy,8,8,8,8,30,30,8,8,11,11,0,0,8,8,11,11,0,0,13,13,6,6,17,17,yes
AllenDang__cimgui-go,cdxgen,8,8,8,8,30,30,8,8,7,7,0,0,8,8,7,7,0,0,10,10,5,5,20,20,yes
AllenDang__cimgui-go,cyclonedx-gomod,8,8,8,8,30,30,8,8,3,3,0,0,8,8,3,3,0,0,11,11,0,0,19,19,yes
Allenxuxu__gev,syft,19,19,23,23,63,63,19,19,12,12,0,0,23,23,8,8,0,0,31,31,0,0,32,32,yes
Allenxuxu__gev,trivy,19,19,23,23,63,63,19,19,44,44,0,0,23,23,40,40,0,0,63,63,0,0,0,0,yes
Allenxuxu__gev,cdxgen,19,19,23,23,63,63,19,19,0,0,0,0,19,19,0,0,4,4,19,19,0,0,44,44,yes
Allenxuxu__gev,cyclonedx-gomod,19,19,23,23,63,63,19,19,0,0,0,0,19,19,0,0,4,4,19,19,0,0,44,44,yes
