repo,gt,tool,predicted,tp,fp,fn,precision,recall,f1,tp_ver,fp_ver,fn_ver,precision_ver,recall_ver,f1_ver
Jagerente__gocfg,7,trivy,7,7,0,0,1.0000,1.0000,1.0000,7,0,0,1.0000,1.0000,1.0000
Jagerente__gocfg,7,cdxgen,1,1,0,6,1.0000,0.1429,0.2500,1,0,6,1.0000,0.1429,0.2500
Jagerente__gocfg,7,cyclonedx-gomod,1,1,0,6,1.0000,0.1429,0.2500,1,0,6,1.0000,0.1429,0.2500
MordaTeam__go-config,231,syft,101,101,0,130,1.0000,0.4372,0.6084,100,1,131,0.9901,0.4329,0.6024
MordaTeam__go-config,231,trivy,69,69,0,162,1.0000,0.2987,0.4600,68,1,163,0.9855,0.2944,0.4533
MordaTeam__go-config,231,cdxgen,20,20,0,211,1.0000,0.0866,0.1594,20,0,211,1.0000,0.0866,0.1594
MordaTeam__go-config,231,cyclonedx-gomod,21,21,0,210,1.0000,0.0909,0.1667,21,0,210,1.0000,0.0909,0.1667
PaddleHQ__go-aws-ssm,11,syft,7,7,0,4,1.0000,0.6364,0.7778,7,0,4,1.0000,0.6364,0.7778
PaddleHQ__go-aws-ssm,11,trivy,4,4,0,7,1.0000,0.3636,0.5333,4,0,7,1.0000,0.3636,0.5333
PaddleHQ__go-aws-ssm,11,cdxgen,3,3,0,8,1.0000,0.2727,0.4286,3,0,8,1.0000,0.2727,0.4286
PaddleHQ__go-aws-ssm,11,cyclonedx-gomod,3,3,0,8,1.0000,0.2727,0.4286,3,0,8,1.0000,0.2727,0.4286
SonicRoshan__scope,6,syft,5,5,0,1,1.0000,0.8333,0.9091,5,0,1,1.0000,0.8333,0.9091
SonicRoshan__scope,6,trivy,6,6,0,0,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000
SonicRoshan__scope,6,cdxgen,1,1,0,5,1.0000,0.1667,0.2857,1,0,5,1.0000,0.1667,0.2857
SonicRoshan__scope,6,cyclonedx-gomod,0,0,0,6,0.0000,0.0000,0.0000,0,0,6,0.0000,0.0000,0.0000
ThomasObenaus__go-conf,161,syft,29,29,0,132,1.0000,0.1801,0.3053,28,1,133,0.9655,0.1739,0.2947
ThomasObenaus__go-conf,161,trivy,22,22,0,139,1.0000,0.1366,0.2404,22,0,139,1.0000,0.1366,0.2404
ThomasObenaus__go-conf,161,cdxgen,19,19,0,142,1.0000,0.1180,0.2111,19,0,142,1.0000,0.1180,0.2111
ThomasObenaus__go-conf,161,cyclonedx-gomod,19,19,0,142,1.0000,0.1180,0.2111,19,0,142,1.0000,0.1180,0.2111
Tochemey__goakt,311,syft,201,201,0,110,1.0000,0.6463,0.7852,200,1,111,0.9950,0.6431,0.7813
Tochemey__goakt,311,trivy,175,175,0,136,1.0000,0.5627,0.7202,174,1,137,0.9943,0.5595,0.7160
Tochemey__goakt,311,cdxgen,130,130,0,181,1.0000,0.4180,0.5896,129,1,182,0.9923,0.4148,0.5850
Tochemey__goakt,311,cyclonedx-gomod,132,132,0,179,1.0000,0.4244,0.5959,132,0,179,1.0000,0.4244,0.5959
Voxray-AI__Voxray,363,syft,193,192,1,171,0.9948,0.5289,0.6906,189,4,174,0.9793,0.5207,0.6799
Voxray-AI__Voxray,363,trivy,152,152,0,211,1.0000,0.4187,0.5903,151,1,212,0.9934,0.4160,0.5864
Voxray-AI__Voxray,363,cdxgen,149,149,0,214,1.0000,0.4105,0.5820,148,1,215,0.9933,0.4077,0.5781
Voxray-AI__Voxray,363,cyclonedx-gomod,152,152,0,211,1.0000,0.4187,0.5903,152,0,211,1.0000,0.4187,0.5903
Yiling-J__piper,160,syft,23,23,0,137,1.0000,0.1437,0.2514,23,0,137,1.0000,0.1437,0.2514
Yiling-J__piper,160,trivy,160,160,0,0,1.0000,1.0000,1.0000,158,2,2,0.9875,0.9875,0.9875
Yiling-J__piper,160,cdxgen,15,15,0,145,1.0000,0.0938,0.1714,15,0,145,1.0000,0.0938,0.1714
Yiling-J__piper,160,cyclonedx-gomod,15,15,0,145,1.0000,0.0938,0.1714,15,0,145,1.0000,0.0938,0.1714
abraithwaite__jeff,21,syft,11,11,0,10,1.0000,0.5238,0.6875,11,0,10,1.0000,0.5238,0.6875
abraithwaite__jeff,21,trivy,21,21,0,0,1.0000,1.0000,1.0000,21,0,0,1.0000,1.0000,1.0000
abraithwaite__jeff,21,cdxgen,6,6,0,15,1.0000,0.2857,0.4444,6,0,15,1.0000,0.2857,0.4444
abraithwaite__jeff,21,cyclonedx-gomod,6,6,0,15,1.0000,0.2857,0.4444,6,0,15,1.0000,0.2857,0.4444
abusomani__go-palette,6,syft,5,5,0,1,1.0000,0.8333,0.9091,5,0,1,1.0000,0.8333,0.9091
abusomani__go-palette,6,trivy,4,4,0,2,1.0000,0.6667,0.8000,4,0,2,1.0000,0.6667,0.8000
abusomani__go-palette,6,cdxgen,4,4,0,2,1.0000,0.6667,0.8000,4,0,2,1.0000,0.6667,0.8000
abusomani__go-palette,6,cyclonedx-gomod,0,0,0,6,0.0000,0.0000,0.0000,0,0,6,0.0000,0.0000,0.0000
adam-hanna__sessions,2,syft,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
adam-hanna__sessions,2,trivy,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
adam-hanna__sessions,2,cdxgen,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
adam-hanna__sessions,2,cyclonedx-gomod,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
adrg__xdg,7,syft,6,6,0,1,1.0000,0.8571,0.9231,6,0,1,1.0000,0.8571,0.9231
adrg__xdg,7,trivy,5,5,0,2,1.0000,0.7143,0.8333,5,0,2,1.0000,0.7143,0.8333
adrg__xdg,7,cdxgen,5,5,0,2,1.0000,0.7143,0.8333,5,0,2,1.0000,0.7143,0.8333
adrg__xdg,7,cyclonedx-gomod,1,1,0,6,1.0000,0.1429,0.2500,1,0,6,1.0000,0.1429,0.2500
agenticenv__agent-sdk-go,392,syft,143,141,2,251,0.9860,0.3597,0.5271,141,2,251,0.9860,0.3597,0.5271
agenticenv__agent-sdk-go,392,trivy,122,122,0,270,1.0000,0.3112,0.4747,122,0,270,1.0000,0.3112,0.4747
agenticenv__agent-sdk-go,392,cdxgen,120,120,0,272,1.0000,0.3061,0.4687,120,0,272,1.0000,0.3061,0.4687
agenticenv__agent-sdk-go,392,cyclonedx-gomod,116,116,0,276,1.0000,0.2959,0.4567,116,0,276,1.0000,0.2959,0.4567
agilira__argus,6,syft,18,6,12,0,0.3333,1.0000,0.5000,2,16,4,0.1111,0.3333,0.1667
agilira__argus,6,trivy,28,6,22,0,0.2143,1.0000,0.3529,2,26,4,0.0714,0.3333,0.1176
agilira__argus,6,cdxgen,0,0,0,6,0.0000,0.0000,0.0000,0,0,6,0.0000,0.0000,0.0000
agilira__argus,6,cyclonedx-gomod,5,5,0,1,1.0000,0.8333,0.9091,5,0,1,1.0000,0.8333,0.9091
agilira__orpheus,5,syft,24,5,19,0,0.2083,1.0000,0.3448,3,21,2,0.1250,0.6000,0.2069
agilira__orpheus,5,trivy,25,5,20,0,0.2000,1.0000,0.3333,5,20,0,0.2000,1.0000,0.3333
agilira__orpheus,5,cdxgen,5,5,0,0,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000
agilira__orpheus,5,cyclonedx-gomod,5,5,0,0,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000
alecthomas__kingpin,8,syft,9,7,2,1,0.7778,0.8750,0.8235,7,2,1,0.7778,0.8750,0.8235
alecthomas__kingpin,8,trivy,8,6,2,2,0.7500,0.7500,0.7500,6,2,2,0.7500,0.7500,0.7500
alecthomas__kingpin,8,cdxgen,2,2,0,6,1.0000,0.2500,0.4000,2,0,6,1.0000,0.2500,0.4000
alecthomas__kingpin,8,cyclonedx-gomod,2,2,0,6,1.0000,0.2500,0.4000,2,0,6,1.0000,0.2500,0.4000
alecthomas__kong,3,syft,27,3,24,0,0.1111,1.0000,0.2000,3,24,0,0.1111,1.0000,0.2000
alecthomas__kong,3,trivy,27,3,24,0,0.1111,1.0000,0.2000,3,24,0,0.1111,1.0000,0.2000
alecthomas__kong,3,cdxgen,11,0,11,3,0.0000,0.0000,0.0000,0,11,3,0.0000,0.0000,0.0000
alecthomas__kong,3,cyclonedx-gomod,0,0,0,3,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000
alexeyco__simpletable,2,syft,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
alexeyco__simpletable,2,trivy,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
alexeyco__simpletable,2,cdxgen,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
alexeyco__simpletable,2,cyclonedx-gomod,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
alexflint__go-arg,7,syft,6,6,0,1,1.0000,0.8571,0.9231,6,0,1,1.0000,0.8571,0.9231
alexflint__go-arg,7,trivy,5,5,0,2,1.0000,0.7143,0.8333,5,0,2,1.0000,0.7143,0.8333
alexflint__go-arg,7,cdxgen,1,1,0,6,1.0000,0.1429,0.2500,1,0,6,1.0000,0.1429,0.2500
alexflint__go-arg,7,cyclonedx-gomod,1,1,0,6,1.0000,0.1429,0.2500,1,0,6,1.0000,0.1429,0.2500
alfiankan__crab-config-files-templating,12,syft,8,8,0,4,1.0000,0.6667,0.8000,8,0,4,1.0000,0.6667,0.8000
alfiankan__crab-config-files-templating,12,trivy,7,7,0,5,1.0000,0.5833,0.7368,7,0,5,1.0000,0.5833,0.7368
alfiankan__crab-config-files-templating,12,cdxgen,7,7,0,5,1.0000,0.5833,0.7368,7,0,5,1.0000,0.5833,0.7368
alfiankan__crab-config-files-templating,12,cyclonedx-gomod,3,3,0,9,1.0000,0.2500,0.4000,3,0,9,1.0000,0.2500,0.4000
amjadjibon__memsh,114,syft,95,94,1,20,0.9895,0.8246,0.8995,93,2,21,0.9789,0.8158,0.8900
amjadjibon__memsh,114,trivy,60,59,1,55,0.9833,0.5175,0.6782,58,2,56,0.9667,0.5088,0.6667
amjadjibon__memsh,114,cdxgen,56,56,0,58,1.0000,0.4912,0.6588,54,2,60,0.9643,0.4737,0.6353
amjadjibon__memsh,114,cyclonedx-gomod,60,59,1,55,0.9833,0.5175,0.6782,59,1,55,0.9833,0.5175,0.6782
antham__envh,8,syft,7,7,0,1,1.0000,0.8750,0.9333,7,0,1,1.0000,0.8750,0.9333
antham__envh,8,trivy,6,6,0,2,1.0000,0.7500,0.8571,6,0,2,1.0000,0.7500,0.8571
antham__envh,8,cdxgen,6,6,0,2,1.0000,0.7500,0.8571,6,0,2,1.0000,0.7500,0.8571
antham__envh,8,cyclonedx-gomod,0,0,0,8,0.0000,0.0000,0.0000,0,0,8,0.0000,0.0000,0.0000
antham__strumt,6,syft,6,6,0,0,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000
antham__strumt,6,trivy,6,6,0,0,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000
antham__strumt,6,cdxgen,6,6,0,0,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000
antham__strumt,6,cyclonedx-gomod,0,0,0,6,0.0000,0.0000,0.0000,0,0,6,0.0000,0.0000,0.0000
anthdm__hollywood,117,syft,61,61,0,56,1.0000,0.5214,0.6854,60,1,57,0.9836,0.5128,0.6742
anthdm__hollywood,117,trivy,44,44,0,73,1.0000,0.3761,0.5466,43,1,74,0.9773,0.3675,0.5342
anthdm__hollywood,117,cdxgen,38,38,0,79,1.0000,0.3248,0.4903,37,1,80,0.9737,0.3162,0.4774
anthdm__hollywood,117,cyclonedx-gomod,39,39,0,78,1.0000,0.3333,0.5000,39,0,78,1.0000,0.3333,0.5000
antonmedv__fx,57,syft,40,40,0,17,1.0000,0.7018,0.8247,39,1,18,0.9750,0.6842,0.8041
antonmedv__fx,57,trivy,36,36,0,21,1.0000,0.6316,0.7742,35,1,22,0.9722,0.6140,0.7527
antonmedv__fx,57,cdxgen,28,28,0,29,1.0000,0.4912,0.6588,27,1,30,0.9643,0.4737,0.6353
antonmedv__fx,57,cyclonedx-gomod,30,30,0,27,1.0000,0.5263,0.6897,30,0,27,1.0000,0.5263,0.6897
arceus-7__chroma16,16,syft,14,14,0,2,1.0000,0.8750,0.9333,14,0,2,1.0000,0.8750,0.9333
arceus-7__chroma16,16,trivy,13,13,0,3,1.0000,0.8125,0.8966,13,0,3,1.0000,0.8125,0.8966
arceus-7__chroma16,16,cdxgen,13,13,0,3,1.0000,0.8125,0.8966,13,0,3,1.0000,0.8125,0.8966
arceus-7__chroma16,16,cyclonedx-gomod,13,13,0,3,1.0000,0.8125,0.8966,13,0,3,1.0000,0.8125,0.8966
asynkron__protoactor-go,219,syft,157,138,19,81,0.8790,0.6301,0.7340,95,62,124,0.6051,0.4338,0.5053
asynkron__protoactor-go,219,trivy,182,118,64,101,0.6484,0.5388,0.5885,95,87,124,0.5220,0.4338,0.4738
asynkron__protoactor-go,219,cdxgen,137,118,19,101,0.8613,0.5388,0.6629,113,24,106,0.8248,0.5160,0.6348
asynkron__protoactor-go,219,cyclonedx-gomod,108,108,0,111,1.0000,0.4932,0.6606,108,0,111,1.0000,0.4932,0.6606
authzed__spicedb,468,syft,496,286,210,182,0.5766,0.6111,0.5934,236,260,232,0.4758,0.5043,0.4896
authzed__spicedb,468,trivy,455,265,190,203,0.5824,0.5662,0.5742,238,217,230,0.5231,0.5085,0.5157
authzed__spicedb,468,cdxgen,0,0,0,468,0.0000,0.0000,0.0000,0,0,468,0.0000,0.0000,0.0000
authzed__spicedb,468,cyclonedx-gomod,230,230,0,238,1.0000,0.4915,0.6590,230,0,238,1.0000,0.4915,0.6590
beatlabs__harvester,112,syft,46,46,0,66,1.0000,0.4107,0.5823,46,0,66,1.0000,0.4107,0.5823
beatlabs__harvester,112,trivy,27,27,0,85,1.0000,0.2411,0.3885,27,0,85,1.0000,0.2411,0.3885
beatlabs__harvester,112,cdxgen,27,27,0,85,1.0000,0.2411,0.3885,27,0,85,1.0000,0.2411,0.3885
beatlabs__harvester,112,cyclonedx-gomod,21,21,0,91,1.0000,0.1875,0.3158,21,0,91,1.0000,0.1875,0.3158
benthosdev__benthos,1409,syft,695,687,8,722,0.9885,0.4876,0.6530,628,67,781,0.9036,0.4457,0.5970
benthosdev__benthos,1409,trivy,570,563,7,846,0.9877,0.3996,0.5690,544,26,865,0.9544,0.3861,0.5498
benthosdev__benthos,1409,cdxgen,0,0,0,1409,0.0000,0.0000,0.0000,0,0,1409,0.0000,0.0000,0.0000
benthosdev__benthos,1409,cyclonedx-gomod,522,521,1,888,0.9981,0.3698,0.5396,521,1,888,0.9981,0.3698,0.5396
bleenco__abstruse,553,syft,153,153,0,400,1.0000,0.2767,0.4334,148,5,405,0.9673,0.2676,0.4193
bleenco__abstruse,553,trivy,124,124,0,429,1.0000,0.2242,0.3663,119,5,434,0.9597,0.2152,0.3516
bleenco__abstruse,553,cdxgen,124,124,0,429,1.0000,0.2242,0.3663,119,5,434,0.9597,0.2152,0.3516
bleenco__abstruse,553,cyclonedx-gomod,123,123,0,430,1.0000,0.2224,0.3639,123,0,430,1.0000,0.2224,0.3639
blinklabs-io__nview,64,syft,38,38,0,26,1.0000,0.5938,0.7451,38,0,26,1.0000,0.5938,0.7451
blinklabs-io__nview,64,trivy,32,32,0,32,1.0000,0.5000,0.6667,32,0,32,1.0000,0.5000,0.6667
blinklabs-io__nview,64,cdxgen,23,23,0,41,1.0000,0.3594,0.5287,23,0,41,1.0000,0.3594,0.5287
blinklabs-io__nview,64,cyclonedx-gomod,28,28,0,36,1.0000,0.4375,0.6087,28,0,36,1.0000,0.4375,0.6087
bobg__subcmd,3,syft,2,2,0,1,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000
bobg__subcmd,3,trivy,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
bobg__subcmd,3,cdxgen,1,1,0,2,1.0000,0.3333,0.5000,1,0,2,1.0000,0.3333,0.5000
bobg__subcmd,3,cyclonedx-gomod,1,1,0,2,1.0000,0.3333,0.5000,1,0,2,1.0000,0.3333,0.5000
bogem__id3v2,2,syft,2,1,1,1,0.5000,0.5000,0.5000,1,1,1,0.5000,0.5000,0.5000
bogem__id3v2,2,trivy,11,2,9,0,0.1818,1.0000,0.3077,2,9,0,0.1818,1.0000,0.3077
bogem__id3v2,2,cdxgen,1,1,0,1,1.0000,0.5000,0.6667,1,0,1,1.0000,0.5000,0.6667
bogem__id3v2,2,cyclonedx-gomod,1,1,0,1,1.0000,0.5000,0.6667,1,0,1,1.0000,0.5000,0.6667
box-cli-maker__box-cli-maker,19,syft,12,12,0,7,1.0000,0.6316,0.7742,12,0,7,1.0000,0.6316,0.7742
box-cli-maker__box-cli-maker,19,trivy,12,12,0,7,1.0000,0.6316,0.7742,12,0,7,1.0000,0.6316,0.7742
box-cli-maker__box-cli-maker,19,cdxgen,11,11,0,8,1.0000,0.5789,0.7333,11,0,8,1.0000,0.5789,0.7333
box-cli-maker__box-cli-maker,19,cyclonedx-gomod,11,11,0,8,1.0000,0.5789,0.7333,11,0,8,1.0000,0.5789,0.7333
briandowns__spinner,5,syft,5,5,0,0,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000
briandowns__spinner,5,trivy,5,5,0,0,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000
briandowns__spinner,5,cdxgen,5,5,0,0,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000
briandowns__spinner,5,cyclonedx-gomod,5,5,0,0,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000
c-bata__go-prompt,7,syft,5,5,0,2,1.0000,0.7143,0.8333,5,0,2,1.0000,0.7143,0.8333
c-bata__go-prompt,7,trivy,7,7,0,0,1.0000,1.0000,1.0000,7,0,0,1.0000,1.0000,1.0000
c-bata__go-prompt,7,cdxgen,3,3,0,4,1.0000,0.4286,0.6000,3,0,4,1.0000,0.4286,0.6000
c-bata__go-prompt,7,cyclonedx-gomod,6,6,0,1,1.0000,0.8571,0.9231,6,0,1,1.0000,0.8571,0.9231
chaindead__zerocfg,7,syft,6,6,0,1,1.0000,0.8571,0.9231,6,0,1,1.0000,0.8571,0.9231
chaindead__zerocfg,7,trivy,5,5,0,2,1.0000,0.7143,0.8333,5,0,2,1.0000,0.7143,0.8333
chaindead__zerocfg,7,cdxgen,2,2,0,5,1.0000,0.2857,0.4444,2,0,5,1.0000,0.2857,0.4444
chaindead__zerocfg,7,cyclonedx-gomod,2,2,0,5,1.0000,0.2857,0.4444,2,0,5,1.0000,0.2857,0.4444
charmbracelet__bubbles,30,syft,26,26,0,4,1.0000,0.8667,0.9286,26,0,4,1.0000,0.8667,0.9286
charmbracelet__bubbles,30,trivy,24,24,0,6,1.0000,0.8000,0.8889,24,0,6,1.0000,0.8000,0.8889
charmbracelet__bubbles,30,cdxgen,21,21,0,9,1.0000,0.7000,0.8235,21,0,9,1.0000,0.7000,0.8235
charmbracelet__bubbles,30,cyclonedx-gomod,21,21,0,9,1.0000,0.7000,0.8235,21,0,9,1.0000,0.7000,0.8235
charmbracelet__bubbletea,20,syft,45,19,26,1,0.4222,0.9500,0.5846,11,34,9,0.2444,0.5500,0.3385
charmbracelet__bubbletea,20,trivy,41,19,22,1,0.4634,0.9500,0.6230,18,23,2,0.4390,0.9000,0.5902
charmbracelet__bubbletea,20,cdxgen,0,0,0,20,0.0000,0.0000,0.0000,0,0,20,0.0000,0.0000,0.0000
charmbracelet__bubbletea,20,cyclonedx-gomod,15,15,0,5,1.0000,0.7500,0.8571,15,0,5,1.0000,0.7500,0.8571
charmbracelet__lipgloss,23,syft,37,18,19,5,0.4865,0.7826,0.6000,18,19,5,0.4865,0.7826,0.6000
charmbracelet__lipgloss,23,trivy,31,18,13,5,0.5806,0.7826,0.6667,18,13,5,0.5806,0.7826,0.6667
charmbracelet__lipgloss,23,cdxgen,25,15,10,8,0.6000,0.6522,0.6250,15,10,8,0.6000,0.6522,0.6250
charmbracelet__lipgloss,23,cyclonedx-gomod,15,15,0,8,1.0000,0.6522,0.7895,15,0,8,1.0000,0.6522,0.7895
chmike__securecookie,1,syft,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
chmike__securecookie,1,trivy,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
chmike__securecookie,1,cdxgen,2,1,1,0,0.5000,1.0000,0.6667,1,1,0,0.5000,1.0000,0.6667
chmike__securecookie,1,cyclonedx-gomod,0,0,0,1,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000
cloudquery__cloudquery,363,syft,401,248,153,115,0.6185,0.6832,0.6492,210,191,153,0.5237,0.5785,0.5497
cloudquery__cloudquery,363,trivy,350,215,135,148,0.6143,0.5923,0.6031,193,157,170,0.5514,0.5317,0.5414
cloudquery__cloudquery,363,cdxgen,293,203,90,160,0.6928,0.5592,0.6189,193,100,170,0.6587,0.5317,0.5884
cloudquery__cloudquery,363,cyclonedx-gomod,153,153,0,210,1.0000,0.4215,0.5930,153,0,210,1.0000,0.4215,0.5930
cometbft__cometbft,438,syft,238,238,0,200,1.0000,0.5434,0.7041,231,7,207,0.9706,0.5274,0.6834
cometbft__cometbft,438,trivy,191,191,0,247,1.0000,0.4361,0.6073,186,5,252,0.9738,0.4247,0.5914
cometbft__cometbft,438,cdxgen,143,143,0,295,1.0000,0.3265,0.4923,142,1,296,0.9930,0.3242,0.4888
cometbft__cometbft,438,cyclonedx-gomod,173,173,0,265,1.0000,0.3950,0.5663,173,0,265,1.0000,0.3950,0.5663
cosmos__cosmos-sdk,756,syft,400,378,22,378,0.9450,0.5000,0.6540,333,67,423,0.8325,0.4405,0.5761
cosmos__cosmos-sdk,756,trivy,357,332,25,424,0.9300,0.4392,0.5966,325,32,431,0.9104,0.4299,0.5840
cosmos__cosmos-sdk,756,cdxgen,0,0,0,756,0.0000,0.0000,0.0000,0,0,756,0.0000,0.0000,0.0000
cosmos__cosmos-sdk,756,cyclonedx-gomod,315,314,1,442,0.9968,0.4153,0.5864,314,1,442,0.9968,0.4153,0.5864
cosmtrek__air,199,syft,102,101,1,98,0.9902,0.5075,0.6711,101,1,98,0.9902,0.5075,0.6711
cosmtrek__air,199,trivy,28,27,1,172,0.9643,0.1357,0.2379,27,1,172,0.9643,0.1357,0.2379
cosmtrek__air,199,cdxgen,19,19,0,180,1.0000,0.0955,0.1743,19,0,180,1.0000,0.0955,0.1743
cosmtrek__air,199,cyclonedx-gomod,19,19,0,180,1.0000,0.0955,0.1743,19,0,180,1.0000,0.0955,0.1743
cristalhq__aconfig,1,syft,11,1,10,0,0.0909,1.0000,0.1667,1,10,0,0.0909,1.0000,0.1667
cristalhq__aconfig,1,trivy,11,1,10,0,0.0909,1.0000,0.1667,1,10,0,0.0909,1.0000,0.1667
cristalhq__aconfig,1,cdxgen,5,1,4,0,0.2000,1.0000,0.3333,1,4,0,0.2000,1.0000,0.3333
cristalhq__aconfig,1,cyclonedx-gomod,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
cyucelen__marker,10,syft,9,9,0,1,1.0000,0.9000,0.9474,9,0,1,1.0000,0.9000,0.9474
cyucelen__marker,10,trivy,10,10,0,0,1.0000,1.0000,1.0000,10,0,0,1.0000,1.0000,1.0000
cyucelen__marker,10,cdxgen,4,4,0,6,1.0000,0.4000,0.5714,4,0,6,1.0000,0.4000,0.5714
cyucelen__marker,10,cyclonedx-gomod,4,4,0,6,1.0000,0.4000,0.5714,4,0,6,1.0000,0.4000,0.5714
dakera-ai__dakera-go,6,syft,5,5,0,1,1.0000,0.8333,0.9091,5,0,1,1.0000,0.8333,0.9091
dakera-ai__dakera-go,6,trivy,4,4,0,2,1.0000,0.6667,0.8000,4,0,2,1.0000,0.6667,0.8000
dakera-ai__dakera-go,6,cdxgen,4,4,0,2,1.0000,0.6667,0.8000,4,0,2,1.0000,0.6667,0.8000
dakera-ai__dakera-go,6,cyclonedx-gomod,0,0,0,6,0.0000,0.0000,0.0000,0,0,6,0.0000,0.0000,0.0000
