repo,all,imported,direct,tool,found,P_all,R_all,F1_all,P_imp,R_imp,F1_imp,P_dir,R_dir,F1_dir
DylanMeeus__GoAudio,0,,,syft,0,0.0,0.0,0.0,,,,,,
DylanMeeus__GoAudio,0,,,trivy,0,0.0,0.0,0.0,,,,,,
DylanMeeus__GoAudio,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
DylanMeeus__GoAudio,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
Evertras__bubble-table,35,19,5,syft,27,100.0,77.1,87.1,70.4,100.0,82.6,18.5,100.0,31.3
Evertras__bubble-table,35,19,5,trivy,23,100.0,65.7,79.3,82.6,100.0,90.5,21.7,100.0,35.7
Evertras__bubble-table,35,19,5,cdxgen,19,100.0,54.3,70.4,100.0,100.0,100.0,21.1,80.0,33.3
Evertras__bubble-table,35,19,5,cyclonedx-gomod,19,100.0,54.3,70.4,100.0,100.0,100.0,21.1,80.0,33.3
GiGurra__boa,7,2,2,syft,3,100.0,42.9,60.0,66.7,100.0,80.0,66.7,100.0,80.0
GiGurra__boa,7,2,2,trivy,3,100.0,42.9,60.0,66.7,100.0,80.0,66.7,100.0,80.0
GiGurra__boa,7,2,2,cdxgen,2,100.0,28.6,44.4,100.0,100.0,100.0,100.0,100.0,100.0
GiGurra__boa,7,2,2,cyclonedx-gomod,3,100.0,42.9,60.0,66.7,100.0,80.0,66.7,100.0,80.0
GoTestTools__gotestfmt,0,,,syft,9,0.0,0.0,0.0,,,,,,
GoTestTools__gotestfmt,0,,,trivy,10,0.0,0.0,0.0,,,,,,
GoTestTools__gotestfmt,0,,,cdxgen,4,0.0,0.0,0.0,,,,,,
GoTestTools__gotestfmt,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
GuilhermeCaruso__anko,14,3,2,syft,6,83.3,35.7,50.0,50.0,100.0,66.7,33.3,100.0,50.0
GuilhermeCaruso__anko,14,3,2,trivy,16,87.5,100.0,93.3,18.8,100.0,31.6,12.5,100.0,22.2
GuilhermeCaruso__anko,14,3,2,cdxgen,3,100.0,21.4,35.3,100.0,100.0,100.0,66.7,100.0,80.0
GuilhermeCaruso__anko,14,3,2,cyclonedx-gomod,3,100.0,21.4,35.3,100.0,100.0,100.0,66.7,100.0,80.0
Jagerente__gocfg,7,1,2,syft,6,100.0,85.7,92.3,16.7,100.0,28.6,33.3,100.0,50.0
Jagerente__gocfg,7,1,2,trivy,7,100.0,100.0,100.0,14.3,100.0,25.0,28.6,100.0,44.4
Jagerente__gocfg,7,1,2,cdxgen,1,100.0,14.3,25.0,100.0,100.0,100.0,100.0,50.0,66.7
Jagerente__gocfg,7,1,2,cyclonedx-gomod,1,100.0,14.3,25.0,100.0,100.0,100.0,100.0,50.0,66.7
JeremyLoy__config,0,,,syft,0,0.0,0.0,0.0,,,,,,
JeremyLoy__config,0,,,trivy,0,0.0,0.0,0.0,,,,,,
JeremyLoy__config,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
JeremyLoy__config,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
Kwynto__gosession,0,,,syft,3,0.0,0.0,0.0,,,,,,
Kwynto__gosession,0,,,trivy,3,0.0,0.0,0.0,,,,,,
Kwynto__gosession,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
Kwynto__gosession,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
MordaTeam__go-config,231,20,9,syft,101,100.0,43.7,60.8,19.8,100.0,33.1,8.9,100.0,16.4
MordaTeam__go-config,231,20,9,trivy,69,100.0,29.9,46.0,29.0,100.0,44.9,13.0,100.0,23.1
MordaTeam__go-config,231,20,9,cdxgen,20,100.0,8.7,15.9,100.0,100.0,100.0,25.0,55.6,34.5
MordaTeam__go-config,231,20,9,cyclonedx-gomod,21,100.0,9.1,16.7,95.2,100.0,97.6,23.8,55.6,33.3
PaddleHQ__go-aws-ssm,11,3,2,syft,7,100.0,63.6,77.8,42.9,100.0,60.0,28.6,100.0,44.4
PaddleHQ__go-aws-ssm,11,3,2,trivy,4,100.0,36.4,53.3,75.0,100.0,85.7,50.0,100.0,66.7
PaddleHQ__go-aws-ssm,11,3,2,cdxgen,3,100.0,27.3,42.9,100.0,100.0,100.0,66.7,100.0,80.0
PaddleHQ__go-aws-ssm,11,3,2,cyclonedx-gomod,3,100.0,27.3,42.9,100.0,100.0,100.0,66.7,100.0,80.0
SonicRoshan__scope,6,,1,syft,5,100.0,83.3,90.9,,,,20.0,100.0,33.3
SonicRoshan__scope,6,,1,trivy,6,100.0,100.0,100.0,,,,16.7,100.0,28.6
SonicRoshan__scope,6,,1,cdxgen,1,100.0,16.7,28.6,,,,100.0,100.0,100.0
SonicRoshan__scope,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
ThomasObenaus__go-conf,161,19,8,syft,29,100.0,18.0,30.5,65.5,100.0,79.2,27.6,100.0,43.2
ThomasObenaus__go-conf,161,19,8,trivy,22,100.0,13.7,24.0,86.4,100.0,92.7,36.4,100.0,53.3
ThomasObenaus__go-conf,161,19,8,cdxgen,19,100.0,11.8,21.1,100.0,100.0,100.0,36.8,87.5,51.9
ThomasObenaus__go-conf,161,19,8,cyclonedx-gomod,19,100.0,11.8,21.1,100.0,100.0,100.0,36.8,87.5,51.9
Tochemey__goakt,311,130,39,syft,201,100.0,64.6,78.5,64.7,100.0,78.5,19.4,100.0,32.5
Tochemey__goakt,311,130,39,trivy,175,100.0,56.3,72.0,74.3,100.0,85.2,22.3,100.0,36.4
Tochemey__goakt,311,130,39,cdxgen,130,100.0,41.8,59.0,100.0,100.0,100.0,26.2,87.2,40.2
Tochemey__goakt,311,130,39,cyclonedx-gomod,132,100.0,42.4,59.6,96.2,97.7,96.9,25.8,87.2,39.8
Voxray-AI__Voxray,363,149,24,syft,193,99.5,52.9,69.1,77.2,100.0,87.1,12.4,100.0,22.1
Voxray-AI__Voxray,363,149,24,trivy,152,100.0,41.9,59.0,98.0,100.0,99.0,15.8,100.0,27.3
Voxray-AI__Voxray,363,149,24,cdxgen,149,100.0,41.0,58.2,100.0,100.0,100.0,15.4,95.8,26.6
Voxray-AI__Voxray,363,149,24,cyclonedx-gomod,152,100.0,41.9,59.0,98.0,100.0,99.0,15.8,100.0,27.3
Yiling-J__piper,160,15,3,syft,23,100.0,14.4,25.1,65.2,100.0,78.9,13.0,100.0,23.1
Yiling-J__piper,160,15,3,trivy,160,100.0,100.0,100.0,9.4,100.0,17.1,1.9,100.0,3.7
Yiling-J__piper,160,15,3,cdxgen,15,100.0,9.4,17.1,100.0,100.0,100.0,20.0,100.0,33.3
Yiling-J__piper,160,15,3,cyclonedx-gomod,15,100.0,9.4,17.1,100.0,100.0,100.0,20.0,100.0,33.3
abraithwaite__jeff,21,6,6,syft,11,100.0,52.4,68.8,54.5,100.0,70.6,54.5,100.0,70.6
abraithwaite__jeff,21,6,6,trivy,21,100.0,100.0,100.0,28.6,100.0,44.4,28.6,100.0,44.4
abraithwaite__jeff,21,6,6,cdxgen,6,100.0,28.6,44.4,100.0,100.0,100.0,83.3,83.3,83.3
abraithwaite__jeff,21,6,6,cyclonedx-gomod,6,100.0,28.6,44.4,100.0,100.0,100.0,83.3,83.3,83.3
abusomani__go-palette,6,,1,syft,5,100.0,83.3,90.9,,,,20.0,100.0,33.3
abusomani__go-palette,6,,1,trivy,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
abusomani__go-palette,6,,1,cdxgen,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
abusomani__go-palette,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
adam-hanna__sessions,2,2,2,syft,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
adam-hanna__sessions,2,2,2,trivy,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
adam-hanna__sessions,2,2,2,cdxgen,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
adam-hanna__sessions,2,2,2,cyclonedx-gomod,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
adrg__xdg,7,,2,syft,6,100.0,85.7,92.3,,,,33.3,100.0,50.0
adrg__xdg,7,,2,trivy,5,100.0,71.4,83.3,,,,40.0,100.0,57.1
adrg__xdg,7,,2,cdxgen,5,100.0,71.4,83.3,,,,40.0,100.0,57.1
adrg__xdg,7,,2,cyclonedx-gomod,1,100.0,14.3,25.0,,,,100.0,50.0,66.7
agenticenv__agent-sdk-go,392,120,37,syft,143,98.6,36.0,52.7,83.9,100.0,91.3,25.9,100.0,41.1
agenticenv__agent-sdk-go,392,120,37,trivy,122,100.0,31.1,47.5,98.4,100.0,99.2,30.3,100.0,46.5
agenticenv__agent-sdk-go,392,120,37,cdxgen,120,100.0,30.6,46.9,100.0,100.0,100.0,30.0,97.3,45.9
agenticenv__agent-sdk-go,392,120,37,cyclonedx-gomod,116,100.0,29.6,45.7,100.0,96.7,98.3,30.2,94.6,45.8
agilira__argus,6,5,5,syft,18,33.3,100.0,50.0,27.8,100.0,43.5,27.8,100.0,43.5
agilira__argus,6,5,5,trivy,28,21.4,100.0,35.3,17.9,100.0,30.3,17.9,100.0,30.3
agilira__argus,6,5,5,cdxgen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agilira__argus,6,5,5,cyclonedx-gomod,5,100.0,83.3,90.9,100.0,100.0,100.0,100.0,100.0,100.0
agilira__flash-flags,0,,,syft,7,0.0,0.0,0.0,,,,,,
agilira__flash-flags,0,,,trivy,15,0.0,0.0,0.0,,,,,,
agilira__flash-flags,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
agilira__flash-flags,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
agilira__orpheus,5,5,3,syft,24,20.8,100.0,34.5,20.8,100.0,34.5,12.5,100.0,22.2
agilira__orpheus,5,5,3,trivy,25,20.0,100.0,33.3,20.0,100.0,33.3,12.0,100.0,21.4
agilira__orpheus,5,5,3,cdxgen,5,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,75.0
agilira__orpheus,5,5,3,cyclonedx-gomod,5,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,75.0
akamensky__argparse,0,,,syft,0,0.0,0.0,0.0,,,,,,
akamensky__argparse,0,,,trivy,0,0.0,0.0,0.0,,,,,,
akamensky__argparse,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
akamensky__argparse,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
alecthomas__kingpin,8,2,3,syft,9,77.8,87.5,82.4,22.2,100.0,36.4,33.3,100.0,50.0
alecthomas__kingpin,8,2,3,trivy,8,75.0,75.0,75.0,25.0,100.0,40.0,37.5,100.0,54.5
alecthomas__kingpin,8,2,3,cdxgen,2,100.0,25.0,40.0,100.0,100.0,100.0,100.0,66.7,80.0
alecthomas__kingpin,8,2,3,cyclonedx-gomod,2,100.0,25.0,40.0,100.0,100.0,100.0,100.0,66.7,80.0
alecthomas__kong,3,,2,syft,27,11.1,100.0,20.0,,,,7.4,100.0,13.8
alecthomas__kong,3,,2,trivy,27,11.1,100.0,20.0,,,,7.4,100.0,13.8
alecthomas__kong,3,,2,cdxgen,11,0.0,0.0,0.0,,,,0.0,0.0,0.0
alecthomas__kong,3,,2,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
alexedwards__scs,0,,,syft,185,0.0,0.0,0.0,,,,,,
alexedwards__scs,0,,,trivy,477,0.0,0.0,0.0,,,,,,
alexedwards__scs,0,,,cdxgen,85,0.0,0.0,0.0,,,,,,
alexedwards__scs,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
alexeyco__simpletable,2,2,1,syft,2,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,66.7
alexeyco__simpletable,2,2,1,trivy,2,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,66.7
alexeyco__simpletable,2,2,1,cdxgen,2,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,66.7
alexeyco__simpletable,2,2,1,cyclonedx-gomod,2,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,66.7
alexflint__go-arg,7,1,2,syft,6,100.0,85.7,92.3,16.7,100.0,28.6,33.3,100.0,50.0
alexflint__go-arg,7,1,2,trivy,5,100.0,71.4,83.3,20.0,100.0,33.3,40.0,100.0,57.1
alexflint__go-arg,7,1,2,cdxgen,1,100.0,14.3,25.0,100.0,100.0,100.0,100.0,50.0,66.7
alexflint__go-arg,7,1,2,cyclonedx-gomod,1,100.0,14.3,25.0,100.0,100.0,100.0,100.0,50.0,66.7
alfiankan__crab-config-files-templating,12,2,2,syft,8,100.0,66.7,80.0,25.0,100.0,40.0,25.0,100.0,40.0
alfiankan__crab-config-files-templating,12,2,2,trivy,7,100.0,58.3,73.7,28.6,100.0,44.4,28.6,100.0,44.4
alfiankan__crab-config-files-templating,12,2,2,cdxgen,7,100.0,58.3,73.7,28.6,100.0,44.4,28.6,100.0,44.4
alfiankan__crab-config-files-templating,12,2,2,cyclonedx-gomod,3,100.0,25.0,40.0,66.7,100.0,80.0,33.3,50.0,40.0
amjadjibon__memsh,114,56,23,syft,95,98.9,82.5,90.0,57.9,98.2,72.8,23.2,95.7,37.3
amjadjibon__memsh,114,56,23,trivy,60,98.3,51.8,67.8,91.7,98.2,94.8,36.7,95.7,53.0
amjadjibon__memsh,114,56,23,cdxgen,56,100.0,49.1,65.9,100.0,100.0,100.0,41.1,100.0,58.2
amjadjibon__memsh,114,56,23,cyclonedx-gomod,60,98.3,51.8,67.8,91.7,98.2,94.8,36.7,95.7,53.0
antham__envh,8,,2,syft,7,100.0,87.5,93.3,,,,28.6,100.0,44.4
antham__envh,8,,2,trivy,6,100.0,75.0,85.7,,,,33.3,100.0,50.0
antham__envh,8,,2,cdxgen,6,100.0,75.0,85.7,,,,33.3,100.0,50.0
antham__envh,8,,2,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
antham__strumt,6,,1,syft,6,100.0,100.0,100.0,,,,16.7,100.0,28.6
antham__strumt,6,,1,trivy,6,100.0,100.0,100.0,,,,16.7,100.0,28.6
antham__strumt,6,,1,cdxgen,6,100.0,100.0,100.0,,,,16.7,100.0,28.6
antham__strumt,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
anthdm__hollywood,117,38,11,syft,61,100.0,52.1,68.5,62.3,100.0,76.8,18.0,100.0,30.6
anthdm__hollywood,117,38,11,trivy,44,100.0,37.6,54.7,86.4,100.0,92.7,25.0,100.0,40.0
anthdm__hollywood,117,38,11,cdxgen,38,100.0,32.5,49.0,100.0,100.0,100.0,26.3,90.9,40.8
anthdm__hollywood,117,38,11,cyclonedx-gomod,39,100.0,33.3,50.0,97.4,100.0,98.7,25.6,90.9,40.0
antonmedv__fx,57,28,15,syft,40,100.0,70.2,82.5,70.0,100.0,82.4,37.5,100.0,54.5
antonmedv__fx,57,28,15,trivy,36,100.0,63.2,77.4,77.8,100.0,87.5,41.7,100.0,58.8
antonmedv__fx,57,28,15,cdxgen,28,100.0,49.1,65.9,100.0,100.0,100.0,46.4,86.7,60.5
antonmedv__fx,57,28,15,cyclonedx-gomod,30,100.0,52.6,69.0,93.3,100.0,96.6,43.3,86.7,57.8
arceus-7__chroma16,16,13,1,syft,14,100.0,87.5,93.3,92.9,100.0,96.3,7.1,100.0,13.3
arceus-7__chroma16,16,13,1,trivy,13,100.0,81.3,89.7,100.0,100.0,100.0,7.7,100.0,14.3
arceus-7__chroma16,16,13,1,cdxgen,13,100.0,81.3,89.7,100.0,100.0,100.0,7.7,100.0,14.3
arceus-7__chroma16,16,13,1,cyclonedx-gomod,13,100.0,81.3,89.7,100.0,100.0,100.0,7.7,100.0,14.3
asynkron__protoactor-go,219,107,33,syft,157,87.9,63.0,73.4,68.2,100.0,81.1,21.0,100.0,34.7
asynkron__protoactor-go,219,107,33,trivy,182,64.8,53.9,58.9,58.8,100.0,74.0,18.1,100.0,30.7
asynkron__protoactor-go,219,107,33,cdxgen,137,86.1,53.9,66.3,78.1,100.0,87.7,24.1,100.0,38.8
asynkron__protoactor-go,219,107,33,cyclonedx-gomod,108,100.0,49.3,66.1,99.1,100.0,99.5,29.6,97.0,45.4
atelpis__enflag,0,,,syft,0,0.0,0.0,0.0,,,,,,
atelpis__enflag,0,,,trivy,0,0.0,0.0,0.0,,,,,,
atelpis__enflag,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
atelpis__enflag,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
authzed__spicedb,468,222,109,syft,496,57.7,61.1,59.3,44.8,100.0,61.8,22.0,100.0,36.0
authzed__spicedb,468,222,109,trivy,455,58.2,56.6,57.4,48.8,100.0,65.6,24.0,100.0,38.7
authzed__spicedb,468,222,109,cdxgen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
authzed__spicedb,468,222,109,cyclonedx-gomod,230,100.0,49.1,65.9,96.5,100.0,98.2,46.5,98.2,63.1
beatlabs__harvester,112,20,4,syft,46,100.0,41.1,58.2,43.5,100.0,60.6,8.7,100.0,16.0
beatlabs__harvester,112,20,4,trivy,27,100.0,24.1,38.8,74.1,100.0,85.1,14.8,100.0,25.8
beatlabs__harvester,112,20,4,cdxgen,27,100.0,24.1,38.8,74.1,100.0,85.1,14.8,100.0,25.8
beatlabs__harvester,112,20,4,cyclonedx-gomod,21,100.0,18.8,31.6,95.2,100.0,97.6,14.3,75.0,24.0
benthosdev__benthos,1409,498,217,syft,695,98.8,48.8,65.3,71.7,100.0,83.5,31.2,100.0,47.6
benthosdev__benthos,1409,498,217,trivy,570,98.8,40.0,56.9,87.4,100.0,93.3,38.1,100.0,55.1
benthosdev__benthos,1409,498,217,cdxgen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benthosdev__benthos,1409,498,217,cyclonedx-gomod,522,99.8,37.0,54.0,95.0,99.6,97.3,39.3,94.5,55.5
bleenco__abstruse,553,111,37,syft,153,100.0,27.7,43.3,72.5,100.0,84.1,24.2,100.0,38.9
bleenco__abstruse,553,111,37,trivy,124,100.0,22.4,36.6,89.5,100.0,94.5,29.8,100.0,46.0
bleenco__abstruse,553,111,37,cdxgen,124,100.0,22.4,36.6,89.5,100.0,94.5,29.8,100.0,46.0
bleenco__abstruse,553,111,37,cyclonedx-gomod,123,100.0,22.2,36.4,90.2,100.0,94.9,30.1,100.0,46.3
blinklabs-io__nview,64,23,11,syft,38,100.0,59.4,74.5,60.5,100.0,75.4,28.9,100.0,44.9
blinklabs-io__nview,64,23,11,trivy,32,100.0,50.0,66.7,71.9,100.0,83.6,34.4,100.0,51.2
blinklabs-io__nview,64,23,11,cdxgen,23,100.0,35.9,52.9,100.0,100.0,100.0,47.8,100.0,64.7
blinklabs-io__nview,64,23,11,cyclonedx-gomod,28,100.0,43.8,60.9,82.1,100.0,90.2,39.3,100.0,56.4
bobg__subcmd,3,1,2,syft,2,100.0,66.7,80.0,50.0,100.0,66.7,100.0,100.0,100.0
bobg__subcmd,3,1,2,trivy,3,100.0,100.0,100.0,33.3,100.0,50.0,66.7,100.0,80.0
bobg__subcmd,3,1,2,cdxgen,1,100.0,33.3,50.0,100.0,100.0,100.0,100.0,50.0,66.7
bobg__subcmd,3,1,2,cyclonedx-gomod,1,100.0,33.3,50.0,100.0,100.0,100.0,100.0,50.0,66.7
bogem__id3v2,2,1,1,syft,2,50.0,50.0,50.0,50.0,100.0,66.7,50.0,100.0,66.7
bogem__id3v2,2,1,1,trivy,11,18.2,100.0,30.8,9.1,100.0,16.7,9.1,100.0,16.7
bogem__id3v2,2,1,1,cdxgen,1,100.0,50.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0
bogem__id3v2,2,1,1,cyclonedx-gomod,1,100.0,50.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0
box-cli-maker__box-cli-maker,19,11,5,syft,12,100.0,63.2,77.4,91.7,100.0,95.7,41.7,100.0,58.8
box-cli-maker__box-cli-maker,19,11,5,trivy,12,100.0,63.2,77.4,91.7,100.0,95.7,41.7,100.0,58.8
box-cli-maker__box-cli-maker,19,11,5,cdxgen,11,100.0,57.9,73.3,100.0,100.0,100.0,45.5,100.0,62.5
box-cli-maker__box-cli-maker,19,11,5,cyclonedx-gomod,11,100.0,57.9,73.3,100.0,100.0,100.0,45.5,100.0,62.5
briandowns__spinner,5,5,2,syft,5,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,57.1
briandowns__spinner,5,5,2,trivy,5,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,57.1
briandowns__spinner,5,5,2,cdxgen,5,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,57.1
briandowns__spinner,5,5,2,cyclonedx-gomod,5,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,57.1
brianvoe__sjwt,0,,,syft,0,0.0,0.0,0.0,,,,,,
brianvoe__sjwt,0,,,trivy,0,0.0,0.0,0.0,,,,,,
brianvoe__sjwt,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
brianvoe__sjwt,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
c-bata__go-prompt,7,3,5,syft,5,100.0,71.4,83.3,60.0,100.0,75.0,100.0,100.0,100.0
c-bata__go-prompt,7,3,5,trivy,7,100.0,100.0,100.0,42.9,100.0,60.0,71.4,100.0,83.3
c-bata__go-prompt,7,3,5,cdxgen,3,100.0,42.9,60.0,100.0,100.0,100.0,100.0,60.0,75.0
c-bata__go-prompt,7,3,5,cyclonedx-gomod,6,100.0,85.7,92.3,50.0,100.0,66.7,83.3,100.0,90.9
caarlos0__env,0,,,syft,0,0.0,0.0,0.0,,,,,,
caarlos0__env,0,,,trivy,0,0.0,0.0,0.0,,,,,,
caarlos0__env,0,,,cdxgen,1,0.0,0.0,0.0,,,,,,
caarlos0__env,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
chaindead__zerocfg,7,2,3,syft,6,100.0,85.7,92.3,33.3,100.0,50.0,50.0,100.0,66.7
chaindead__zerocfg,7,2,3,trivy,5,100.0,71.4,83.3,40.0,100.0,57.1,60.0,100.0,75.0
chaindead__zerocfg,7,2,3,cdxgen,2,100.0,28.6,44.4,100.0,100.0,100.0,100.0,66.7,80.0
chaindead__zerocfg,7,2,3,cyclonedx-gomod,2,100.0,28.6,44.4,100.0,100.0,100.0,100.0,66.7,80.0
charmbracelet__bubbles,30,21,11,syft,26,100.0,86.7,92.9,80.8,100.0,89.4,42.3,100.0,59.5
charmbracelet__bubbles,30,21,11,trivy,24,100.0,80.0,88.9,87.5,100.0,93.3,45.8,100.0,62.9
charmbracelet__bubbles,30,21,11,cdxgen,21,100.0,70.0,82.4,100.0,100.0,100.0,42.9,81.8,56.3
charmbracelet__bubbles,30,21,11,cyclonedx-gomod,21,100.0,70.0,82.4,100.0,100.0,100.0,42.9,81.8,56.3
charmbracelet__bubbletea,20,15,8,syft,45,42.2,95.0,58.5,33.3,100.0,50.0,17.8,100.0,30.2
charmbracelet__bubbletea,20,15,8,trivy,41,46.3,95.0,62.3,36.6,100.0,53.6,19.5,100.0,32.7
charmbracelet__bubbletea,20,15,8,cdxgen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charmbracelet__bubbletea,20,15,8,cyclonedx-gomod,15,100.0,75.0,85.7,100.0,100.0,100.0,46.7,87.5,60.9
charmbracelet__lipgloss,23,15,10,syft,37,48.6,78.3,60.0,40.5,100.0,57.7,27.0,100.0,42.6
charmbracelet__lipgloss,23,15,10,trivy,31,58.1,78.3,66.7,48.4,100.0,65.2,32.3,100.0,48.8
charmbracelet__lipgloss,23,15,10,cdxgen,25,60.0,65.2,62.5,60.0,100.0,75.0,32.0,80.0,45.7
charmbracelet__lipgloss,23,15,10,cyclonedx-gomod,15,100.0,65.2,78.9,100.0,100.0,100.0,53.3,80.0,64.0
chmike__securecookie,1,,1,syft,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
chmike__securecookie,1,,1,trivy,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
chmike__securecookie,1,,1,cdxgen,2,50.0,100.0,66.7,,,,50.0,100.0,66.7
chmike__securecookie,1,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
cloudquery__cloudquery,363,151,1,syft,401,61.8,68.3,64.9,37.7,100.0,54.7,0.2,100.0,0.5
cloudquery__cloudquery,363,151,1,trivy,350,61.4,59.2,60.3,43.1,100.0,60.3,0.3,100.0,0.6
cloudquery__cloudquery,363,151,1,cdxgen,293,69.3,55.9,61.9,51.5,100.0,68.0,0.3,100.0,0.7
cloudquery__cloudquery,363,151,1,cyclonedx-gomod,153,100.0,42.1,59.3,98.7,100.0,99.3,0.7,100.0,1.3
codingconcepts__env,0,,,syft,0,0.0,0.0,0.0,,,,,,
codingconcepts__env,0,,,trivy,0,0.0,0.0,0.0,,,,,,
