repo,all,imported,tool,predicted,tp_all,fp_all,fn_all,f1_all_name,f1_all_ver,tp_imp,fp_imp,fn_imp,f1_imp_name,f1_imp_ver
Breeze0806__go-etl,103,54,cyclonedx-gomod,55,55,0,48,69.6,69.6,54,1,0,99.1,99.1
BrianLeishman__go-imap,37,26,syft,30,30,0,7,89.6,89.6,26,4,0,92.9,92.9
BrianLeishman__go-imap,37,26,trivy,26,26,0,11,82.5,82.5,26,0,0,100.0,100.0
BrianLeishman__go-imap,37,26,cdxgen,26,26,0,11,82.5,82.5,26,0,0,100.0,100.0
BrianLeishman__go-imap,37,26,cyclonedx-gomod,26,26,0,11,82.5,82.5,26,0,0,100.0,100.0
C2FO__vfs,277,88,syft,140,134,6,143,64.3,62.4,88,52,0,77.2,76.3
C2FO__vfs,277,88,trivy,107,101,6,176,52.6,52.6,88,19,0,90.3,90.3
C2FO__vfs,277,88,cdxgen,94,91,3,186,49.1,49.1,88,6,0,96.7,96.7
C2FO__vfs,277,88,cyclonedx-gomod,88,88,0,189,48.2,48.2,87,1,1,98.9,98.9
CalebQ42__bbConvert,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
CalebQ42__bbConvert,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
CalebQ42__bbConvert,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
CalebQ42__bbConvert,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
ChainSafe__gossamer,565,193,syft,244,232,12,333,57.4,53.9,190,54,3,87.0,82.8
ChainSafe__gossamer,565,193,trivy,221,209,12,356,53.2,50.6,190,31,3,91.8,88.4
ChainSafe__gossamer,565,193,cdxgen,205,198,7,367,51.4,49.6,193,12,0,97.0,96.0
ChainSafe__gossamer,565,193,cyclonedx-gomod,192,189,3,376,49.9,49.9,181,11,12,94.0,94.0
ClickHouse__clickhouse-go,106,56,syft,78,78,0,28,84.8,83.7,56,22,0,83.6,82.1
ClickHouse__clickhouse-go,106,56,trivy,64,64,0,42,75.3,74.1,56,8,0,93.3,91.7
ClickHouse__clickhouse-go,106,56,cdxgen,56,56,0,50,69.1,67.9,56,0,0,100.0,98.2
ClickHouse__clickhouse-go,106,56,cyclonedx-gomod,63,63,0,43,74.6,74.6,56,7,0,94.1,94.1
Clivern__Beaver,172,41,syft,67,67,0,105,56.1,54.4,41,26,0,75.9,72.2
Clivern__Beaver,172,41,trivy,55,55,0,117,48.5,46.7,41,14,0,85.4,81.3
Clivern__Beaver,172,41,cdxgen,41,41,0,131,38.5,36.6,41,0,0,100.0,95.1
Clivern__Beaver,172,41,cyclonedx-gomod,51,51,0,121,45.7,45.7,41,10,0,89.1,89.1
CloudyKit__jet,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
CloudyKit__jet,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
CloudyKit__jet,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
CloudyKit__jet,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
Code-Hex__Neo-cowsay,5,3,syft,21,5,16,0,38.5,38.5,3,18,0,25.0,25.0
Code-Hex__Neo-cowsay,5,3,trivy,27,5,22,0,31.3,31.3,3,24,0,20.0,20.0
Code-Hex__Neo-cowsay,5,3,cdxgen,16,3,13,2,28.6,28.6,3,13,0,31.6,31.6
Code-Hex__Neo-cowsay,5,3,cyclonedx-gomod,3,3,0,2,75.0,75.0,3,0,0,100.0,100.0
Colin4k1024__Aetheris,267,124,syft,168,153,15,114,70.3,67.1,124,44,0,84.9,80.8
Colin4k1024__Aetheris,267,124,trivy,145,132,13,135,64.1,62.1,124,21,0,92.2,89.2
Colin4k1024__Aetheris,267,124,cdxgen,136,125,11,142,62.0,61.5,124,12,0,95.4,94.6
Colin4k1024__Aetheris,267,124,cyclonedx-gomod,126,126,0,141,64.1,64.1,121,5,3,96.8,96.8
CovenantSQL__CovenantSQL,238,87,syft,127,126,1,112,69.0,65.2,86,41,1,80.4,74.8
CovenantSQL__CovenantSQL,238,87,trivy,238,237,1,1,99.6,94.5,86,152,1,52.9,49.2
CovenantSQL__CovenantSQL,238,87,cdxgen,87,87,0,151,53.5,49.2,87,0,0,100.0,93.1
CovenantSQL__CovenantSQL,238,87,cyclonedx-gomod,94,93,1,145,56.0,56.0,86,8,1,95.0,95.0
Crocmagnon__fatcontext,8,3,syft,4,4,0,4,66.7,66.7,3,1,0,85.7,85.7
Crocmagnon__fatcontext,8,3,trivy,3,3,0,5,54.5,54.5,3,0,0,100.0,100.0
Crocmagnon__fatcontext,8,3,cdxgen,3,3,0,5,54.5,54.5,3,0,0,100.0,100.0
Crocmagnon__fatcontext,8,3,cyclonedx-gomod,2,2,0,6,40.0,40.0,2,0,1,80.0,80.0
DATA-DOG__go-sqlmock,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
DATA-DOG__go-sqlmock,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
DATA-DOG__go-sqlmock,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
DATA-DOG__go-sqlmock,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
DMcP89__tinycare-tui,64,29,syft,51,51,0,13,88.7,88.7,29,22,0,72.5,72.5
DMcP89__tinycare-tui,64,29,trivy,36,36,0,28,72.0,72.0,29,7,0,89.2,89.2
DMcP89__tinycare-tui,64,29,cdxgen,29,29,0,35,62.4,62.4,29,0,0,100.0,100.0
DMcP89__tinycare-tui,64,29,cyclonedx-gomod,33,33,0,31,68.0,68.0,29,4,0,93.5,93.5
DarthPestilane__easytcp,30,11,syft,20,20,0,10,80.0,80.0,11,9,0,71.0,71.0
DarthPestilane__easytcp,30,11,trivy,18,18,0,12,75.0,75.0,11,7,0,75.9,75.9
DarthPestilane__easytcp,30,11,cdxgen,11,11,0,19,53.7,53.7,11,0,0,100.0,100.0
DarthPestilane__easytcp,30,11,cyclonedx-gomod,14,14,0,16,63.6,63.6,11,3,0,88.0,88.0
DeRuina__timberjack,2,1,syft,2,2,0,0,100.0,100.0,1,1,0,66.7,66.7
DeRuina__timberjack,2,1,trivy,2,2,0,0,100.0,100.0,1,1,0,66.7,66.7
DeRuina__timberjack,2,1,cdxgen,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
DeRuina__timberjack,2,1,cyclonedx-gomod,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
DrmagicE__gmqtt,312,47,syft,119,119,0,193,55.2,55.2,47,72,0,56.6,56.6
DrmagicE__gmqtt,312,47,trivy,105,105,0,207,50.4,50.4,47,58,0,61.8,61.8
DrmagicE__gmqtt,312,47,cdxgen,47,47,0,265,26.2,26.2,47,0,0,100.0,100.0
DrmagicE__gmqtt,312,47,cyclonedx-gomod,104,104,0,208,50.0,50.0,47,57,0,62.3,62.3
DylanMeeus__hasgo,8,2,syft,3,2,1,6,36.4,18.2,2,1,0,80.0,40.0
DylanMeeus__hasgo,8,2,trivy,9,8,1,0,94.1,82.4,2,7,0,36.4,18.2
DylanMeeus__hasgo,8,2,cdxgen,2,2,0,6,40.0,40.0,2,0,0,100.0,100.0
DylanMeeus__hasgo,8,2,cyclonedx-gomod,2,2,0,6,40.0,40.0,2,0,0,100.0,100.0
Dynom__TySug,16,8,syft,13,13,0,3,89.7,89.7,8,5,0,76.2,76.2
Dynom__TySug,16,8,trivy,10,10,0,6,76.9,76.9,8,2,0,88.9,88.9
Dynom__TySug,16,8,cdxgen,8,8,0,8,66.7,66.7,8,0,0,100.0,100.0
Dynom__TySug,16,8,cyclonedx-gomod,9,9,0,7,72.0,72.0,8,1,0,94.1,94.1
EchoVault__EchoVault,96,30,syft,40,40,0,56,58.8,58.8,30,10,0,85.7,85.7
EchoVault__EchoVault,96,30,trivy,31,31,0,65,48.8,48.8,30,1,0,98.4,98.4
EchoVault__EchoVault,96,30,cdxgen,30,30,0,66,47.6,47.6,30,0,0,100.0,100.0
EchoVault__EchoVault,96,30,cyclonedx-gomod,30,30,0,66,47.6,47.6,30,0,0,100.0,100.0
Edgenesis__shifu,435,126,syft,166,166,0,269,55.2,54.9,126,40,0,86.3,86.3
Edgenesis__shifu,435,126,trivy,137,137,0,298,47.9,47.9,126,11,0,95.8,95.8
Edgenesis__shifu,435,126,cdxgen,126,126,0,309,44.9,44.9,126,0,0,100.0,100.0
Edgenesis__shifu,435,126,cyclonedx-gomod,119,119,0,316,43.0,43.0,118,1,8,96.3,96.3
EngoEngine__engo,45,17,syft,31,31,0,14,81.6,78.9,17,14,0,70.8,66.7
EngoEngine__engo,45,17,trivy,31,31,0,14,81.6,78.9,17,14,0,70.8,66.7
EngoEngine__engo,45,17,cdxgen,17,17,0,28,54.8,51.6,17,0,0,100.0,94.1
EngoEngine__engo,45,17,cyclonedx-gomod,24,24,0,21,69.6,69.6,17,7,0,82.9,82.9
Eun__go-convert,7,5,syft,6,6,0,1,92.3,76.9,5,1,0,90.9,72.7
Eun__go-convert,7,5,trivy,7,7,0,0,100.0,85.7,5,2,0,83.3,66.7
Eun__go-convert,7,5,cdxgen,5,5,0,2,83.3,83.3,5,0,0,100.0,100.0
Eun__go-convert,7,5,cyclonedx-gomod,5,5,0,2,83.3,83.3,5,0,0,100.0,100.0
Eun__go-hit,52,30,syft,44,44,0,8,91.7,33.3,30,14,0,81.1,18.9
Eun__go-hit,52,30,trivy,52,52,0,0,100.0,48.1,30,22,0,73.2,34.1
Eun__go-hit,52,30,cdxgen,38,38,0,14,84.4,82.2,30,8,0,88.2,85.3
Eun__go-hit,52,30,cyclonedx-gomod,30,30,0,22,73.2,73.2,30,0,0,100.0,100.0
Evertras__bubble-table,35,19,syft,27,27,0,8,87.1,87.1,19,8,0,82.6,82.6
Evertras__bubble-table,35,19,trivy,23,23,0,12,79.3,79.3,19,4,0,90.5,90.5
Evertras__bubble-table,35,19,cdxgen,19,19,0,16,70.4,70.4,19,0,0,100.0,100.0
Evertras__bubble-table,35,19,cyclonedx-gomod,19,19,0,16,70.4,70.4,19,0,0,100.0,100.0
FiloSottile__age,17,6,syft,9,9,0,8,69.2,69.2,6,3,0,80.0,80.0
FiloSottile__age,17,6,trivy,9,9,0,8,69.2,69.2,6,3,0,80.0,80.0
FiloSottile__age,17,6,cdxgen,6,6,0,11,52.2,52.2,6,0,0,100.0,100.0
FiloSottile__age,17,6,cyclonedx-gomod,6,6,0,11,52.2,52.2,6,0,0,100.0,100.0
Forceu__gokapi,114,30,syft,71,71,0,43,76.8,76.8,30,41,0,59.4,59.4
Forceu__gokapi,114,30,trivy,49,49,0,65,60.1,60.1,30,19,0,75.9,75.9
Forceu__gokapi,114,30,cdxgen,49,49,0,65,60.1,60.1,30,19,0,75.9,75.9
Forceu__gokapi,114,30,cyclonedx-gomod,41,41,0,73,52.9,52.9,30,11,0,84.5,84.5
FreeLeh__GoFreeDB,93,16,syft,29,29,0,64,47.5,47.5,16,13,0,71.1,71.1
FreeLeh__GoFreeDB,93,16,trivy,23,23,0,70,39.7,39.7,16,7,0,82.1,82.1
FreeLeh__GoFreeDB,93,16,cdxgen,16,16,0,77,29.4,29.4,16,0,0,100.0,100.0
FreeLeh__GoFreeDB,93,16,cyclonedx-gomod,17,17,0,76,30.9,30.9,16,1,0,97.0,97.0
Fs02__go-todo-backend,51,16,syft,40,40,0,11,87.9,85.7,16,24,0,57.1,53.6
Fs02__go-todo-backend,51,16,trivy,17,17,0,34,50.0,47.1,16,1,0,97.0,90.9
Fs02__go-todo-backend,51,16,cdxgen,17,17,0,34,50.0,47.1,16,1,0,97.0,90.9
Fs02__go-todo-backend,51,16,cyclonedx-gomod,15,15,0,36,45.5,45.5,15,0,1,96.8,96.8
Fs02__grimoire,12,11,syft,12,12,0,0,100.0,100.0,11,1,0,95.7,95.7
Fs02__grimoire,12,11,trivy,12,12,0,0,100.0,100.0,11,1,0,95.7,95.7
Fs02__grimoire,12,11,cdxgen,11,11,0,1,95.7,95.7,11,0,0,100.0,100.0
Fs02__grimoire,12,11,cyclonedx-gomod,11,11,0,1,95.7,95.7,11,0,0,100.0,100.0
GiGurra__boa,7,2,syft,3,3,0,4,60.0,60.0,2,1,0,80.0,80.0
GiGurra__boa,7,2,trivy,3,3,0,4,60.0,60.0,2,1,0,80.0,80.0
GiGurra__boa,7,2,cdxgen,2,2,0,5,44.4,44.4,2,0,0,100.0,100.0
GiGurra__boa,7,2,cyclonedx-gomod,3,3,0,4,60.0,60.0,2,1,0,80.0,80.0
Gituser143__cryptgo,183,26,syft,38,38,0,145,34.4,33.5,26,12,0,81.3,81.3
Gituser143__cryptgo,183,26,trivy,183,183,0,0,100.0,97.3,26,157,0,24.9,24.9
Gituser143__cryptgo,183,26,cdxgen,26,26,0,157,24.9,24.9,26,0,0,100.0,100.0
Gituser143__cryptgo,183,26,cyclonedx-gomod,27,27,0,156,25.7,25.7,26,1,0,98.1,98.1
GoogleCloudPlatform__gcloud-golang,196,31,syft,327,185,142,11,70.7,17.2,31,296,0,17.3,8.4
GoogleCloudPlatform__gcloud-golang,196,31,trivy,307,174,133,22,69.2,18.3,31,276,0,18.3,16.0
GoogleCloudPlatform__gcloud-golang,196,31,cdxgen,111,64,47,132,41.7,29.3,31,80,0,43.7,43.7
GoogleCloudPlatform__gcloud-golang,196,31,cyclonedx-gomod,30,30,0,166,26.5,26.5,30,0,1,98.4,98.4
GuilhermeCaruso__anko,14,3,syft,6,5,1,9,50.0,50.0,3,3,0,66.7,66.7
GuilhermeCaruso__anko,14,3,trivy,16,14,2,0,93.3,93.3,3,13,0,31.6,31.6
GuilhermeCaruso__anko,14,3,cdxgen,3,3,0,11,35.3,35.3,3,0,0,100.0,100.0
GuilhermeCaruso__anko,14,3,cyclonedx-gomod,3,3,0,11,35.3,35.3,3,0,0,100.0,100.0
GuilhermeCaruso__mooncake,10,4,syft,5,5,0,5,66.7,66.7,4,1,0,88.9,88.9
GuilhermeCaruso__mooncake,10,4,trivy,4,4,0,6,57.1,57.1,4,0,0,100.0,100.0
GuilhermeCaruso__mooncake,10,4,cdxgen,4,4,0,6,57.1,57.1,4,0,0,100.0,100.0
GuilhermeCaruso__mooncake,10,4,cyclonedx-gomod,4,4,0,6,57.1,57.1,4,0,0,100.0,100.0
Guitarbum722__align,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
Guitarbum722__align,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
Guitarbum722__align,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
Guitarbum722__align,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
HDT3213__rdb,18,7,syft,12,12,0,6,80.0,80.0,7,5,0,73.7,73.7
HDT3213__rdb,18,7,trivy,8,8,0,10,61.5,61.5,7,1,0,93.3,93.3
HDT3213__rdb,18,7,cdxgen,7,7,0,11,56.0,56.0,7,0,0,100.0,100.0
HDT3213__rdb,18,7,cyclonedx-gomod,8,8,0,10,61.5,61.5,7,1,0,93.3,93.3
Haraj-backend__hex-monscape,53,16,syft,28,28,0,25,69.1,69.1,16,12,0,72.7,72.7
Haraj-backend__hex-monscape,53,16,trivy,22,22,0,31,58.7,58.7,16,6,0,84.2,84.2
Haraj-backend__hex-monscape,53,16,cdxgen,16,16,0,37,46.4,46.4,16,0,0,100.0,100.0
Haraj-backend__hex-monscape,53,16,cyclonedx-gomod,16,16,0,37,46.4,46.4,16,0,0,100.0,100.0
HazelnutParadise__insyra,444,109,syft,166,166,0,278,54.4,54.1,109,57,0,79.3,78.5
HazelnutParadise__insyra,444,109,trivy,131,131,0,313,45.6,45.2,109,22,0,90.8,90.0
HazelnutParadise__insyra,444,109,cdxgen,109,109,0,335,39.4,39.1,109,0,0,100.0,99.1
HazelnutParadise__insyra,444,109,cyclonedx-gomod,117,117,0,327,41.7,41.7,108,9,1,95.6,95.6
Henry-Sarabia__igdb,5,4,syft,5,5,0,0,100.0,80.0,4,1,0,88.9,66.7
Henry-Sarabia__igdb,5,4,trivy,5,5,0,0,100.0,80.0,4,1,0,88.9,66.7
Henry-Sarabia__igdb,5,4,cdxgen,4,4,0,1,88.9,66.7,4,0,0,100.0,75.0
Henry-Sarabia__igdb,5,4,cyclonedx-gomod,4,4,0,1,88.9,88.9,4,0,0,100.0,100.0
Henry-Sarabia__sliceconv,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
Henry-Sarabia__sliceconv,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
Henry-Sarabia__sliceconv,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
Henry-Sarabia__sliceconv,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
Hossiy21__razify,12,6,syft,8,8,0,4,80.0,80.0,6,2,0,85.7,85.7
Hossiy21__razify,12,6,trivy,8,8,0,4,80.0,80.0,6,2,0,85.7,85.7
Hossiy21__razify,12,6,cdxgen,6,6,0,6,66.7,66.7,6,0,0,100.0,100.0
Hossiy21__razify,12,6,cyclonedx-gomod,7,7,0,5,73.7,73.7,6,1,0,92.3,92.3
HugoSmits86__nativewebp,2,1,syft,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
HugoSmits86__nativewebp,2,1,trivy,2,2,0,0,100.0,100.0,1,1,0,66.7,66.7
HugoSmits86__nativewebp,2,1,cdxgen,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
HugoSmits86__nativewebp,2,1,cyclonedx-gomod,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
Humpheh__goboy,28,8,syft,17,17,0,11,75.6,75.6,8,9,0,64.0,64.0
Humpheh__goboy,28,8,trivy,16,16,0,12,72.7,72.7,8,8,0,66.7,66.7
Humpheh__goboy,28,8,cdxgen,8,8,0,20,44.4,44.4,8,0,0,100.0,100.0
Humpheh__goboy,28,8,cyclonedx-gomod,12,12,0,16,60.0,60.0,8,4,0,80.0,80.0
ITcathyh__conexec,2,1,syft,2,2,0,0,100.0,100.0,1,1,0,66.7,66.7
