name,url,clone,go_list,syft,trivy,cdxgen,cyclonedx_gomod,gt_lines
alibaba__opentelemetry-go-auto-instrumentation,https://github.com/alibaba/opentelemetry-go-auto-instrumentation,ok,ok,ok,ok,fail,ok,131
oras-project__oras,https://github.com/oras-project/oras,ok,ok,ok,ok,ok,ok,43
oagudo__outbox,https://github.com/oagudo/outbox,ok,ok,ok,ok,ok,ok,2
italolelis__outboxer,https://github.com/italolelis/outboxer,ok,ok,ok,ok,ok,ok,179
hashicorp__raft,https://github.com/hashicorp/raft,ok,ok,ok,ok,fail,ok,79
etcd-io__raft,https://github.com/etcd-io/raft,ok,ok,ok,ok,ok,ok,11
cenkalti__rain,https://github.com/cenkalti/rain,ok,ok,ok,ok,ok,ok,448
bsm__redislock,https://github.com/bsm/redislock,ok,ok,ok,ok,ok,ok,12
nexcode__rpcplatform,https://github.com/nexcode/rpcplatform,ok,fail,ok,ok,ok,ok,0
smallnest__rpcx,https://github.com/smallnest/rpcx,ok,ok,ok,ok,ok,ok,187
jexia__semaphore,https://github.com/jexia/semaphore,ok,ok,ok,ok,ok,ok,231
ursiform__sleuth,https://github.com/ursiform/sleuth,ok,fail,ok,ok,ok,fail,0
zeromq__libzmq,https://github.com/zeromq/libzmq,ok,fail,ok,ok,ok,fail,0
zhufuyi__sponge,https://github.com/zhufuyi/sponge,ok,ok,ok,ok,ok,ok,498
tarmac-project__tarmac,https://github.com/tarmac-project/tarmac,ok,ok,ok,ok,ok,ok,332
temporalio__sdk-go,https://github.com/temporalio/sdk-go,ok,ok,ok,ok,ok,ok,70
anacrolix__torrent,https://github.com/anacrolix/torrent,ok,fail,ok,ok,ok,fail,0
trpc-group__trpc-go,https://github.com/trpc-group/trpc-go,ok,ok,ok,ok,ok,ok,64
skibish__ddns,https://github.com/skibish/ddns,ok,ok,ok,ok,ok,ok,120
timothyye__godns,https://github.com/timothyye/godns,ok,ok,ok,ok,ok,ok,67
aymerick__douceur,https://github.com/aymerick/douceur,ok,fail,ok,ok,ok,fail,0
jordan-wright__email,https://github.com/jordan-wright/email,ok,fail,ok,ok,ok,fail,0
AfterShip__email-verifier,https://github.com/AfterShip/email-verifier,ok,ok,ok,ok,ok,ok,23
toorop__go-dkim,https://github.com/toorop/go-dkim,ok,fail,ok,ok,ok,fail,0
dimuska139__go-email-normalizer,https://github.com/dimuska139/go-email-normalizer,ok,ok,ok,ok,ok,ok,7
BrianLeishman__go-imap,https://github.com/BrianLeishman/go-imap,ok,ok,ok,ok,ok,ok,38
emersion__go-imap,https://github.com/emersion/go-imap,ok,ok,ok,ok,ok,ok,13
wneessen__go-mail,https://github.com/wneessen/go-mail,ok,ok,ok,ok,ok,ok,5
emersion__go-message,https://github.com/emersion/go-message,ok,ok,ok,ok,ok,ok,11
