repo,tool,all_n_tp,all_n_fp,all_n_fn,all_v_tp,all_v_fp,all_v_fn,imp_n_tp,imp_n_fp,imp_n_fn,imp_v_tp,imp_v_fp,imp_v_fn,impT_n_tp,impT_n_fp,impT_n_fn,impT_v_tp,impT_v_fp,impT_v_fn
Code-Hex__Neo-cowsay,syft,5,16,0,5,16,0,3,18,0,3,18,0,4,17,0,4,17,0
Code-Hex__Neo-cowsay,trivy,5,22,0,5,22,0,3,24,0,3,24,0,4,23,0,4,23,0
Code-Hex__Neo-cowsay,cdxgen,3,13,2,3,13,2,3,13,0,3,13,0,3,13,1,3,13,1
Code-Hex__Neo-cowsay,cyclonedx-gomod,3,0,2,3,0,2,3,0,0,3,0,0,3,0,1,3,0,1
CovenantSQL__CovenantSQL,NO_VER
Crocmagnon__fatcontext,syft,4,0,4,4,0,4,3,1,0,3,1,0,3,1,0,0,4,3
Crocmagnon__fatcontext,trivy,3,0,5,3,0,5,3,0,0,3,0,0,3,0,0,0,3,3
Crocmagnon__fatcontext,cdxgen,3,0,5,3,0,5,3,0,0,3,0,0,3,0,0,0,3,3
Crocmagnon__fatcontext,cyclonedx-gomod,2,0,6,2,0,6,2,0,1,2,0,1,2,0,1,0,2,3
DATA-DOG__go-sqlmock,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
DATA-DOG__go-sqlmock,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
DATA-DOG__go-sqlmock,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
DATA-DOG__go-sqlmock,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
DMcP89__tinycare-tui,syft,51,0,13,51,0,13,29,22,0,29,22,0,31,20,0,31,20,0
DMcP89__tinycare-tui,trivy,36,0,28,36,0,28,29,7,0,29,7,0,31,5,0,31,5,0
DMcP89__tinycare-tui,cdxgen,29,0,35,29,0,35,29,0,0,29,0,0,29,0,2,29,0,2
DMcP89__tinycare-tui,cyclonedx-gomod,33,0,31,33,0,31,29,4,0,29,4,0,29,4,2,29,4,2
DarthPestilane__easytcp,syft,20,0,10,20,0,10,11,9,0,11,9,0,15,5,0,12,8,3
DarthPestilane__easytcp,trivy,18,0,12,18,0,12,11,7,0,11,7,0,15,3,0,12,6,3
DarthPestilane__easytcp,cdxgen,11,0,19,11,0,19,11,0,0,11,0,0,11,0,4,8,3,7
