repo,sha,stratum,status,n_gt_imported,n_gt_impT,n_gt_all,syft_state,trivy_state,cdxgen_state,cyclonedx-gomod_state,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
tickstem__uptime,b175e64e318efcfa995124366ee406c3fb690e58,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
tickstem__verify,301932359edf4e9318e316d72caf5645b9ac3916,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
tiendc__autowire,470575e9996fa68400bf9492545eb390102ff15a,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
trivago__gollum,eebd68e5a2b7bcb5dd6994f446a9ccbcc801ae87,impT_empty,OK,0,0,250,ok_nonempty,ok_nonempty,ok_nonempty,na,33,250,33,NA,8,0,"other:8"
uniplaces__carbon,cacaeb006f61e882c1a763a06f4133e9f38748fe,impT_nonempty,OK,0,3,3,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,3,3,3,0,0,0,""
urfave__cli,4937c163f8e8bd88fdb06c4eab67cde61436c205,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,8,7,1,0,0,0,""
wI2L__jettison,c70014c6417af0b0aef8ee7cb809fbb9e8fc6c6a,impT_nonempty,OK,0,6,13,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,10,8,8,0,0,0,""
wellington__go-libsass,e1cda027356ef54af876fd1aa0bd29cd28f6c43f,impT_empty,OK,0,0,4,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,1,1,0,0,0,""
wenerme__go-req,5bff1aa58f32930b0813729ada65f8ae631650e5,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
wesovilabs__koazee,b41b2b4240402649074ae1bfca8e9fc4e46d7c0f,impT_nonempty,OK,0,4,9,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,9,11,4,0,0,0,""
wzshiming__httpproxy,df42621b748dfcf2f8ba2a125f83fd7229ec89bc,impT_nonempty,OK,0,2,8,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,2,2,2,0,0,0,""
xxjwxc__gofal,7b4349ad56ab64a02905b4d037b759f284619320,impT_empty,OK,0,0,23,ok_nonempty,ok_nonempty,ok_nonempty,na,15,30,15,NA,2,0,"cannot_find_module:2"
yaitoo__async,74db4a9f484f6c349507e98603bf362190f57ba9,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
