# empty-gt-stratum 計測開始 2026-08-16T06:42:37.807Z 対象=123
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/5/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_empty/ok_empty 8s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/3/4 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/1/1 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/4 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/0/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 7s
OK gt(imp/impT/all)=0/4/9 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
# empty-gt-stratum 計測開始 2026-08-16T06:53:22.921Z 対象=123
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/13/24 state=ok_nonempty/ok_nonempty/na/ok_empty 9s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/10 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/6/20 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 7s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 8s
OK gt(imp/impT/all)=0/0/154 state=ok_nonempty/ok_nonempty/ok_nonempty/na 341s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/10 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/5/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/1/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/3/4 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/3/3 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/1/1 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/0/250 state=ok_nonempty/ok_nonempty/ok_nonempty/na 26s
OK gt(imp/impT/all)=0/3/3 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 7s
OK gt(imp/impT/all)=0/6/13 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/0/4 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 7s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/9 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 7s
OK gt(imp/impT/all)=0/2/8 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 7s
OK gt(imp/impT/all)=0/0/23 state=ok_nonempty/ok_nonempty/ok_nonempty/na 15s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s

# 完了 処理=29 成功=123 SKIP=0
