dataset,table,tool,gt,precision,recall,f1
july_n1466,macro_name,cyclonedx-gomod,imported,92.7,99.2,94.7
july_n1466,macro_name,cyclonedx-gomod,imported+test,92.9,80.8,82.5
july_n1466,macro_version,syft,all,91.8,66.8,72.5
july_n1466,macro_version,syft,imported,55.3,99.9,66.7
july_n1466,macro_version,syft,imported+test,68.5,99.9,78.1
july_n1466,macro_version,trivy,all,91.5,66.4,71.9
july_n1466,macro_version,trivy,imported,59.0,99.9,68.3
july_n1466,macro_version,trivy,imported+test,72.9,99.9,79.8
july_n1466,macro_version,cdxgen,all,93.6,41.9,52.2
july_n1466,macro_version,cdxgen,imported,90.9,99.7,92.8
july_n1466,macro_version,cdxgen,imported+test,91.7,82.2,81.9
july_n1466,macro_version,cyclonedx-gomod,all,99.9,43.5,56.4
july_n1466,macro_version,cyclonedx-gomod,imported,92.6,99.1,94.7
july_n1466,macro_version,cyclonedx-gomod,imported+test,92.8,80.8,82.5
july_n1466,micro_name,syft,all,86.7,49.8,63.3
july_n1466,micro_name,syft,imported,53.5,99.8,69.7
july_n1466,micro_name,syft,imported+test,58.5,99.8,73.8
july_n1466,micro_name,trivy,all,86.1,47.9,61.5
july_n1466,micro_name,trivy,imported,55.4,99.8,71.2
july_n1466,micro_name,trivy,imported+test,60.5,99.8,75.3
july_n1466,micro_name,cdxgen,all,88.5,33.0,48.0
july_n1466,micro_name,cdxgen,imported,82.7,99.8,90.5
july_n1466,micro_name,cdxgen,imported+test,83.5,92.2,87.6
july_n1466,micro_name,cyclonedx-gomod,all,99.8,35.6,52.5
july_n1466,micro_name,cyclonedx-gomod,imported,85.6,98.9,91.7
july_n1466,micro_name,cyclonedx-gomod,imported+test,85.7,90.6,88.1
cold_n1466,macro_name,syft,all,93.1,67.2,73.4
cold_n1466,macro_name,syft,imported,56.0,100.0,67.4
cold_n1466,macro_name,syft,imported+test,69.3,99.9,78.9
cold_n1466,macro_name,trivy,all,92.8,67.0,72.8
cold_n1466,macro_name,trivy,imported,59.7,100.0,68.9
cold_n1466,macro_name,trivy,imported+test,73.7,99.9,80.4
cold_n1466,macro_name,cdxgen,all,94.6,42.4,52.7
cold_n1466,macro_name,cdxgen,imported,91.5,99.8,93.3
cold_n1466,macro_name,cdxgen,imported+test,92.4,82.3,82.3
cold_n1466,macro_name,cyclonedx-gomod,all,99.9,43.5,56.5
cold_n1466,macro_name,cyclonedx-gomod,imported,92.7,99.2,94.7
cold_n1466,macro_name,cyclonedx-gomod,imported+test,92.9,80.8,82.5
cold_n1466,macro_version,syft,all,91.8,66.7,72.5
cold_n1466,macro_version,syft,imported,55.4,99.9,66.8
cold_n1466,macro_version,syft,imported+test,68.5,99.9,78.2
cold_n1466,macro_version,trivy,all,91.5,66.4,71.9
cold_n1466,macro_version,trivy,imported,59.1,99.9,68.4
cold_n1466,macro_version,trivy,imported+test,73.0,99.9,79.8
cold_n1466,macro_version,cdxgen,all,93.6,41.9,52.2
cold_n1466,macro_version,cdxgen,imported,90.9,99.7,92.8
cold_n1466,macro_version,cdxgen,imported+test,91.7,82.2,81.9
cold_n1466,macro_version,cyclonedx-gomod,all,99.9,43.5,56.4
cold_n1466,macro_version,cyclonedx-gomod,imported,92.6,99.1,94.7
cold_n1466,macro_version,cyclonedx-gomod,imported+test,92.8,80.8,82.5
cold_n1466,micro_name,syft,all,86.7,49.8,63.3
cold_n1466,micro_name,syft,imported,53.5,99.8,69.7
cold_n1466,micro_name,syft,imported+test,58.5,99.8,73.8
cold_n1466,micro_name,trivy,all,86.1,47.9,61.5
cold_n1466,micro_name,trivy,imported,55.4,99.8,71.2
cold_n1466,micro_name,trivy,imported+test,60.5,99.8,75.3
cold_n1466,micro_name,cdxgen,all,88.5,33.0,48.0
cold_n1466,micro_name,cdxgen,imported,82.7,99.8,90.5
cold_n1466,micro_name,cdxgen,imported+test,83.5,92.2,87.6
cold_n1466,micro_name,cyclonedx-gomod,all,99.8,35.6,52.5
cold_n1466,micro_name,cyclonedx-gomod,imported,85.6,98.9,91.7
cold_n1466,micro_name,cyclonedx-gomod,imported+test,85.7,90.6,88.1
