repo,tool,n_all_tp,n_all_fp,n_all_fn,n_imp_tp,n_imp_fp,n_imp_fn,n_impT_tp,n_impT_fp,n_impT_fn,v_all_tp,v_all_fp,v_all_fn,v_imp_tp,v_imp_fp,v_imp_fn,v_impT_tp,v_impT_fp,v_impT_fn,fp_test,fp_otherOS,fp_direct_unused,fp_indirect_unused,fp_resid_gosum,fp_resid_sibling
Antonboom__testifylint,syft,5,12,3,3,14,0,3,14,0,4,14,4,3,15,0,3,15,0,0,0,0,0,1,13
Antonboom__testifylint,trivy,4,12,4,3,13,0,3,13,0,3,14,5,3,14,0,3,14,0,0,0,0,0,0,13
Antonboom__testifylint,cdxgen,4,11,4,3,12,0,3,12,0,3,13,5,3,13,0,3,13,0,0,0,0,0,0,12
Antonboom__testifylint,cyclonedx-gomod,2,0,6,2,0,1,2,0,1,2,0,6,2,0,1,2,0,1,0,0,0,0,0,0
Antonito__gfile,syft,40,0,11,31,9,0,35,5,0,40,0,11,31,9,0,35,5,0,4,1,0,0,4,0
Antonito__gfile,trivy,36,0,15,31,5,0,35,1,0,36,0,15,31,5,0,35,1,0,4,1,0,0,0,0
Antonito__gfile,cdxgen,31,0,20,31,0,0,31,0,4,31,0,20,31,0,0,31,0,4,0,0,0,0,0,0
Antonito__gfile,cyclonedx-gomod,32,0,19,31,1,0,31,1,4,32,0,19,31,1,0,31,1,4,0,1,0,0,0,0
AppsFlyer__go-sundheit,syft,10,5,1,1,14,0,7,8,0,10,7,1,1,16,0,7,10,0,6,0,0,2,1,5
AppsFlyer__go-sundheit,trivy,11,24,0,1,34,0,7,28,0,11,26,0,1,36,0,7,30,0,6,0,0,2,2,24
AppsFlyer__go-sundheit,cdxgen,1,1,10,1,1,0,1,1,6,1,1,10,1,1,0,1,1,6,0,0,0,0,0,1
AppsFlyer__go-sundheit,cyclonedx-gomod,1,0,10,1,0,0,1,0,6,1,0,10,1,0,0,1,0,6,0,0,0,0,0,0
Balaji01-4D__pgxcli,syft,130,0,34,63,67,0,66,64,0,130,0,34,63,67,0,66,64,0,3,1,2,43,18,0
Balaji01-4D__pgxcli,trivy,112,0,52,63,49,0,66,46,0,112,0,52,63,49,0,66,46,0,3,1,2,43,0,0
Balaji01-4D__pgxcli,cdxgen,63,0,101,63,0,0,63,0,3,63,0,101,63,0,0,63,0,3,0,0,0,0,0,0
Balaji01-4D__pgxcli,cyclonedx-gomod,64,0,100,63,1,0,63,1,3,64,0,100,63,1,0,63,1,3,0,1,0,0,0,0
Bilibili__discovery,syft,39,0,172,23,16,0,27,12,0,39,0,172,23,16,0,27,12,0,4,0,0,2,10,0
Bilibili__discovery,trivy,211,0,0,23,188,0,27,184,0,211,0,0,23,188,0,27,184,0,4,3,0,2,179,0
Bilibili__discovery,cdxgen,23,0,188,23,0,0,23,0,4,23,0,188,23,0,0,23,0,4,0,0,0,0,0,0
Bilibili__discovery,cyclonedx-gomod,26,0,185,23,3,0,23,3,4,26,0,185,23,3,0,23,3,4,0,3,0,0,0,0
Boeing__config-file-validator,syft,65,0,34,41,24,0,46,19,0,65,0,34,41,24,0,46,19,0,5,0,0,1,18,0
Boeing__config-file-validator,trivy,47,0,52,41,6,0,46,1,0,47,0,52,41,6,0,46,1,0,5,0,0,1,0,0
Boeing__config-file-validator,cdxgen,41,0,58,41,0,0,41,0,5,41,0,58,41,0,0,41,0,5,0,0,0,0,0,0
Boeing__config-file-validator,cyclonedx-gomod,43,0,56,41,2,0,42,1,4,43,0,56,41,2,0,42,1,4,1,0,0,1,0,0
Breeze0806__go-etl,syft,55,0,48,54,1,0,54,1,0,55,0,48,54,1,0,54,1,0,0,0,0,1,0,0
Breeze0806__go-etl,trivy,55,0,48,54,1,0,54,1,0,55,0,48,54,1,0,54,1,0,0,0,0,1,0,0
Breeze0806__go-etl,cdxgen,55,0,48,54,1,0,54,1,0,55,0,48,54,1,0,54,1,0,0,0,0,1,0,0
BrianLeishman__go-imap,syft,30,0,7,26,4,0,26,4,0,30,0,7,26,4,0,26,4,0,0,0,0,0,4,0
BrianLeishman__go-imap,trivy,26,0,11,26,0,0,26,0,0,26,0,11,26,0,0,26,0,0,0,0,0,0,0,0
BrianLeishman__go-imap,cdxgen,26,0,11,26,0,0,26,0,0,26,0,11,26,0,0,26,0,0,0,0,0,0,0,0
BrianLeishman__go-imap,cyclonedx-gomod,26,0,11,26,0,0,26,0,0,26,0,11,26,0,0,26,0,0,0,0,0,0,0,0
C2FO__vfs,syft,134,6,143,87,53,0,97,43,0,134,10,143,87,57,0,97,47,0,10,0,0,2,33,8
C2FO__vfs,trivy,100,6,177,87,19,0,97,9,0,100,6,177,87,19,0,97,9,0,10,0,0,2,0,7
C2FO__vfs,cdxgen,90,3,187,87,6,0,89,4,8,90,3,187,87,6,0,89,4,8,2,0,0,0,0,4
C2FO__vfs,cyclonedx-gomod,87,0,190,86,1,1,86,1,11,87,0,190,86,1,1,86,1,11,0,0,0,1,0,0
CalebQ42__bbConvert,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CalebQ42__bbConvert,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CalebQ42__bbConvert,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CalebQ42__bbConvert,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ChainSafe__gossamer,syft,232,13,333,190,55,3,193,52,3,229,24,336,190,63,3,193,60,3,3,3,1,6,29,13
ChainSafe__gossamer,trivy,209,12,356,190,31,3,193,28,3,206,20,359,190,36,3,193,33,3,3,3,1,6,6,12
ChainSafe__gossamer,cdxgen,198,7,367,193,12,0,193,12,3,196,13,369,193,16,0,193,16,3,0,0,0,0,2,10
ChainSafe__gossamer,cyclonedx-gomod,189,3,376,181,11,12,181,11,15,189,3,376,181,11,12,181,11,15,0,3,0,5,3,0
ClickHouse__clickhouse-go,syft,77,0,28,55,22,0,56,21,0,77,0,28,55,22,0,56,21,0,1,4,0,3,14,0
ClickHouse__clickhouse-go,trivy,63,0,42,55,8,0,56,7,0,63,0,42,55,8,0,56,7,0,1,4,0,3,0,0
ClickHouse__clickhouse-go,cdxgen,55,0,50,55,0,0,55,0,1,55,0,50,55,0,0,55,0,1,0,0,0,0,0,0
ClickHouse__clickhouse-go,cyclonedx-gomod,62,0,43,55,7,0,55,7,1,62,0,43,55,7,0,55,7,1,0,4,0,3,0,0
Clivern__Beaver,syft,60,0,112,41,19,0,41,19,0,60,0,112,41,19,0,41,19,0,0,1,0,13,5,0
Clivern__Beaver,trivy,55,0,117,41,14,0,41,14,0,55,0,117,41,14,0,41,14,0,0,1,0,13,0,0
