location,table,tool,gt,metric,A,B_full,changed
表A.2,micro_name,cdxgen,imported,F1,90.5,90.5,
表A.2,micro_name,cdxgen,imported+test,precision,83.6,83.6,
表A.2,micro_name,cdxgen,imported+test,recall,92.5,92.5,
表A.2,micro_name,cdxgen,imported+test,F1,87.8,87.8,
表A.2,micro_name,cyclonedx-gomod,all,precision,99.8,99.8,
表A.2,micro_name,cyclonedx-gomod,all,recall,36.0,36.0,
表A.2,micro_name,cyclonedx-gomod,all,F1,52.9,52.9,
表A.2,micro_name,cyclonedx-gomod,imported,precision,85.6,85.6,
表A.2,micro_name,cyclonedx-gomod,imported,recall,98.9,98.9,
表A.2,micro_name,cyclonedx-gomod,imported,F1,91.8,91.8,
表A.2,micro_name,cyclonedx-gomod,imported+test,precision,85.7,85.7,
表A.2,micro_name,cyclonedx-gomod,imported+test,recall,91.1,91.1,
表A.2,micro_name,cyclonedx-gomod,imported+test,F1,88.3,88.3,
表A.3,pooled,syft,all,TP,76929,76922,YES
表A.3,pooled,syft,all,FP,13673,13673,
表A.3,pooled,syft,all,FN,77030,77030,
表A.3,pooled,syft,imported,TP,47981,47981,
表A.3,pooled,syft,imported,FP,42621,42614,YES
表A.3,pooled,syft,imported,FN,120,120,
表A.3,pooled,syft,imported+test,TP,52136,52136,
表A.3,pooled,syft,imported+test,FP,38466,38459,YES
表A.3,pooled,syft,imported+test,FN,123,123,
表A.3,pooled,trivy,all,TP,71376,71369,YES
表A.3,pooled,trivy,all,FP,13198,13198,
表A.3,pooled,trivy,all,FN,77001,77001,
表A.3,pooled,trivy,imported,TP,45970,45970,
表A.3,pooled,trivy,imported,FP,38604,38597,YES
表A.3,pooled,trivy,imported,FN,109,109,
表A.3,pooled,trivy,imported+test,TP,50075,50075,
表A.3,pooled,trivy,imported+test,FP,34499,34492,YES
表A.3,pooled,trivy,imported+test,FN,112,112,
表A.3,pooled,cdxgen,all,TP,47975,47974,YES
表A.3,pooled,cdxgen,all,FP,6413,6413,
表A.3,pooled,cdxgen,all,FN,96881,96875,YES
表A.3,pooled,cdxgen,imported,TP,45006,45006,
表A.3,pooled,cdxgen,imported,FP,9382,9381,YES
表A.3,pooled,cdxgen,imported,FN,77,77,
表A.3,pooled,cdxgen,imported+test,TP,45442,45442,
表A.3,pooled,cdxgen,imported+test,FP,8946,8945,YES
表A.3,pooled,cdxgen,imported+test,FN,3705,3705,
表A.3,pooled,cyclonedx-gomod,all,TP,54433,54433,
表A.3,pooled,cyclonedx-gomod,all,FP,130,130,
表A.3,pooled,cyclonedx-gomod,all,FN,96653,96646,YES
表A.3,pooled,cyclonedx-gomod,imported,TP,46700,46700,
表A.3,pooled,cyclonedx-gomod,imported,FP,7863,7863,
表A.3,pooled,cyclonedx-gomod,imported,FN,526,526,
表A.3,pooled,cyclonedx-gomod,imported+test,TP,46776,46776,
表A.3,pooled,cyclonedx-gomod,imported+test,FP,7787,7787,
表A.3,pooled,cyclonedx-gomod,imported+test,FN,4578,4578,
本文5.4,valid_counts,syft,-,valid,1519,1519,
本文5.4,valid_counts,syft,-,NA,9,9,
本文5.4,valid_counts,trivy,-,valid,1509,1509,
本文5.4,valid_counts,trivy,-,NA,19,19,
本文5.4,valid_counts,cdxgen,-,valid,1493,1493,
本文5.4,valid_counts,cdxgen,-,NA,35,35,
本文5.4,valid_counts,cyclonedx-gomod,-,valid,1501,1501,
本文5.4,valid_counts,cyclonedx-gomod,-,NA,27,27,
表A.4,fp_cause,syft,imported,FP合計,42621,42614,YES
表A.4,fp_cause,syft,imported,test,9.7,9.8,YES
表A.4,fp_cause,syft,imported,os,2.1,2.1,
表A.4,fp_cause,syft,imported,indirect,16.4,16.4,
表A.4,fp_cause,syft,imported,残余,71.7,71.8,YES
表A.4,fp_cause,syft,imported,直接,0.8,0.8,
表A.4,fp_cause,syft,imported,gosum,32.9,32.9,
表A.4,fp_cause,syft,imported,兄弟,38.1,38.1,
表A.4,fp_cause,trivy,imported,FP合計,38604,38597,YES
表A.4,fp_cause,trivy,imported,test,10.6,10.6,
表A.4,fp_cause,trivy,imported,os,2.3,2.3,
表A.4,fp_cause,trivy,imported,indirect,17.0,17.0,
表A.4,fp_cause,trivy,imported,残余,70.0,70.0,
表A.4,fp_cause,trivy,imported,直接,0.8,0.8,
表A.4,fp_cause,trivy,imported,gosum,25.9,25.9,
表A.4,fp_cause,trivy,imported,兄弟,43.3,43.3,
表A.4,fp_cause,cdxgen,imported,FP合計,9382,9381,YES
表A.4,fp_cause,cdxgen,imported,test,4.6,4.6,
表A.4,fp_cause,cdxgen,imported,os,1.6,1.6,
表A.4,fp_cause,cdxgen,imported,indirect,9.6,9.6,
表A.4,fp_cause,cdxgen,imported,残余,84.2,84.2,
表A.4,fp_cause,cdxgen,imported,直接,0.9,0.9,
表A.4,fp_cause,cdxgen,imported,gosum,4.5,4.5,
表A.4,fp_cause,cdxgen,imported,兄弟,78.8,78.8,
表A.4,fp_cause,cyclonedx-gomod,imported,FP合計,7863,7863,
表A.4,fp_cause,cyclonedx-gomod,imported,test,1.0,1.0,
表A.4,fp_cause,cyclonedx-gomod,imported,os,11.5,11.5,
表A.4,fp_cause,cyclonedx-gomod,imported,indirect,62.6,62.6,
表A.4,fp_cause,cyclonedx-gomod,imported,残余,24.9,24.9,
表A.4,fp_cause,cyclonedx-gomod,imported,直接,3.1,3.1,
表A.4,fp_cause,cyclonedx-gomod,imported,gosum,4.3,4.3,
表A.4,fp_cause,cyclonedx-gomod,imported,兄弟,17.5,17.5,
表7,robust_own,syft,imported,precision,55.6,55.6,
表7,robust_common,syft,imported,precision,55.9,56.0,YES
表7,robust_own,syft,imported,recall,99.9,99.9,
表7,robust_common,syft,imported,recall,100.0,100.0,
表7,robust_own,syft,imported,F1,67.0,67.0,
表7,robust_common,syft,imported,F1,67.4,67.4,
表7,robust_own,syft,imported,n,1519,1519,
表7,robust_own,trivy,imported,precision,59.1,59.2,YES
表7,robust_common,trivy,imported,precision,59.6,59.6,
表7,robust_own,trivy,imported,recall,99.9,99.9,
表7,robust_common,trivy,imported,recall,100.0,100.0,
表7,robust_own,trivy,imported,F1,68.4,68.5,YES
表7,robust_common,trivy,imported,F1,68.8,68.9,YES
表7,robust_own,trivy,imported,n,1509,1509,
表7,robust_own,cdxgen,imported,precision,91.4,91.4,
表7,robust_common,cdxgen,imported,precision,91.5,91.5,
表7,robust_own,cdxgen,imported,recall,99.8,99.8,
表7,robust_common,cdxgen,imported,recall,99.8,99.8,
表7,robust_own,cdxgen,imported,F1,93.2,93.2,
表7,robust_common,cdxgen,imported,F1,93.3,93.3,
表7,robust_own,cdxgen,imported,n,1493,1493,
表7,robust_own,cyclonedx-gomod,imported,precision,92.4,92.4,
表7,robust_common,cyclonedx-gomod,imported,precision,92.7,92.7,
表7,robust_own,cyclonedx-gomod,imported,recall,99.1,99.1,
表7,robust_common,cyclonedx-gomod,imported,recall,99.2,99.2,
表7,robust_own,cyclonedx-gomod,imported,F1,94.5,94.5,
表7,robust_common,cyclonedx-gomod,imported,F1,94.7,94.7,
表7,robust_own,cyclonedx-gomod,imported,n,1501,1501,
6.4節,wilcoxon,"cdxgen>syft",imported,wins,1280,1280,
6.4節,wilcoxon,"cdxgen>syft",imported,losses,6,6,
6.4節,wilcoxon,"cdxgen>syft",imported,median_pt,23.1,23.1,
6.4節,wilcoxon,"cdxgen>syft",imported,effect,0.99,0.99,
6.4節,wilcoxon,"cdxgen>syft",imported,z,30.8,30.8,
6.4節,wilcoxon,"cdxgen>syft",imported,p,<1e-15,<1e-15,
6.4節,wilcoxon,"syft>cdxgen",all,wins,1230,1230,
6.4節,wilcoxon,"syft>cdxgen",all,losses,57,57,
6.4節,wilcoxon,"syft>cdxgen",all,median_pt,18.8,18.7,YES
6.4節,wilcoxon,"syft>cdxgen",all,effect,0.95,0.95,
6.4節,wilcoxon,"syft>cdxgen",all,z,29.6,29.6,
6.4節,wilcoxon,"syft>cdxgen",all,p,<1e-15,<1e-15,
6.4節,wilcoxon,"cyclonedx vs cdxgen",imp,wins,233,233,
6.4節,wilcoxon,"cyclonedx vs cdxgen",imp,losses,501,501,
6.4節,wilcoxon,"cyclonedx vs cdxgen",imp,median_pt,-2.7,-2.7,
6.4節,wilcoxon,"cyclonedx vs cdxgen",imp,effect,-0.17,-0.17,
6.4節,wilcoxon,"cyclonedx vs cdxgen",imp,z,-4.0,-4.0,
6.4節,wilcoxon,"cyclonedx vs cdxgen",imp,p,6.2e-5,6.2e-5,
6.4節,wilcoxon,"trivy>syft",imported,wins,895,895,
6.4節,wilcoxon,"trivy>syft",imported,losses,263,263,
6.4節,wilcoxon,"trivy>syft",imported,median_pt,5.9,5.9,
6.4節,wilcoxon,"trivy>syft",imported,effect,0.41,0.41,
6.4節,wilcoxon,"trivy>syft",imported,z,12.1,12.1,
6.4節,wilcoxon,"trivy>syft",imported,p,<1e-15,<1e-15,
6.4節,wilcoxon,"syft>trivy",all,wins,880,880,
6.4節,wilcoxon,"syft>trivy",all,losses,282,282,
6.4節,wilcoxon,"syft>trivy",all,median_pt,6.4,6.4,
6.4節,wilcoxon,"syft>trivy",all,effect,0.38,0.38,
6.4節,wilcoxon,"syft>trivy",all,z,11.2,11.2,
6.4節,wilcoxon,"syft>trivy",all,p,<1e-15,<1e-15,
6.4節,wilcoxon,"cdxgen imp vs all",-,wins,1273,1274,YES
6.4節,wilcoxon,"cdxgen imp vs all",-,losses,66,65,YES
6.4節,wilcoxon,"cdxgen imp vs all",-,median_pt,45.5,45.5,
6.4節,wilcoxon,"cdxgen imp vs all",-,effect,0.97,0.98,YES
6.4節,wilcoxon,"cdxgen imp vs all",-,z,30.9,30.9,
6.4節,wilcoxon,"cdxgen imp vs all",-,p,<1e-15,<1e-15,
6.4節,wilcoxon,"common_set",-,n,1467,1467,
