repo,tool,column,july,cold_emptymain,reproduces_july,corrected_value
box-cli-maker__box-cli-maker,syft,v_impT_fp,2,2,yes,1
box-cli-maker__box-cli-maker,trivy,n_all_tp,13,13,yes,12
box-cli-maker__box-cli-maker,trivy,n_imp_fp,2,2,yes,1
box-cli-maker__box-cli-maker,trivy,n_impT_fp,2,2,yes,1
box-cli-maker__box-cli-maker,trivy,v_all_tp,13,13,yes,12
box-cli-maker__box-cli-maker,trivy,v_imp_fp,2,2,yes,1
box-cli-maker__box-cli-maker,trivy,v_impT_fp,2,2,yes,1
box-cli-maker__box-cli-maker,cdxgen,n_all_fn,9,9,yes,8
box-cli-maker__box-cli-maker,cdxgen,v_all_fn,9,9,yes,8
box-cli-maker__box-cli-maker,cyclonedx-gomod,n_all_fn,9,9,yes,8
box-cli-maker__box-cli-maker,cyclonedx-gomod,v_all_fn,9,9,yes,8
dghubble__sling,syft,n_all_tp,3,3,yes,2
dghubble__sling,syft,n_imp_fp,5,5,yes,4
dghubble__sling,syft,n_impT_fp,5,5,yes,4
dghubble__sling,syft,v_all_tp,3,3,yes,2
dghubble__sling,syft,v_all_fp,6,6,yes,5
dghubble__sling,syft,v_imp_fp,8,8,yes,6
dghubble__sling,syft,v_impT_fp,8,8,yes,6
dghubble__sling,trivy,n_all_tp,3,3,yes,2
dghubble__sling,trivy,n_imp_fp,5,5,yes,4
dghubble__sling,trivy,n_impT_fp,5,5,yes,4
dghubble__sling,trivy,v_all_tp,3,3,yes,2
dghubble__sling,trivy,v_all_fp,5,5,yes,4
dghubble__sling,trivy,v_imp_fp,7,7,yes,5
dghubble__sling,trivy,v_impT_fp,7,7,yes,5
dghubble__sling,cdxgen,n_all_tp,2,2,yes,1
dghubble__sling,cdxgen,n_imp_fp,3,3,yes,2
dghubble__sling,cdxgen,n_impT_fp,3,3,yes,2
dghubble__sling,cdxgen,v_all_fp,4,4,yes,3
dghubble__sling,cdxgen,v_all_fn,2,2,yes,1
dghubble__sling,cdxgen,v_imp_fp,4,4,yes,3
dghubble__sling,cdxgen,v_impT_fp,4,4,yes,3
dghubble__sling,cyclonedx-gomod,n_all_fn,2,2,yes,1
dghubble__sling,cyclonedx-gomod,v_all_fn,2,2,yes,1
dtgorski__typex,syft,n_all_tp,5,5,yes,4
dtgorski__typex,syft,n_imp_fp,2,2,yes,1
dtgorski__typex,syft,n_impT_fp,2,2,yes,1
dtgorski__typex,syft,v_all_tp,5,5,yes,4
dtgorski__typex,syft,v_imp_fp,2,2,yes,1
dtgorski__typex,syft,v_impT_fp,2,2,yes,1
dtgorski__typex,trivy,n_all_tp,4,4,yes,3
dtgorski__typex,trivy,n_imp_fp,1,1,yes,0
dtgorski__typex,trivy,n_impT_fp,1,1,yes,0
dtgorski__typex,trivy,v_all_tp,4,4,yes,3
dtgorski__typex,trivy,v_imp_fp,1,1,yes,0
dtgorski__typex,trivy,v_impT_fp,1,1,yes,0
dtgorski__typex,cdxgen,n_all_fn,4,4,yes,3
dtgorski__typex,cdxgen,v_all_fn,4,4,yes,3
dtgorski__typex,cyclonedx-gomod,n_all_fn,4,4,yes,3
dtgorski__typex,cyclonedx-gomod,v_all_fn,4,4,yes,3
naughtygopher__errors,syft,n_all_tp,6,6,yes,5
naughtygopher__errors,syft,n_imp_fp,4,4,yes,3
naughtygopher__errors,syft,n_impT_fp,4,4,yes,3
naughtygopher__errors,syft,v_all_tp,6,6,yes,5
naughtygopher__errors,syft,v_imp_fp,4,4,yes,3
naughtygopher__errors,syft,v_impT_fp,4,4,yes,3
naughtygopher__errors,trivy,n_all_tp,3,3,yes,2
naughtygopher__errors,trivy,n_imp_fp,1,1,yes,0
naughtygopher__errors,trivy,n_impT_fp,1,1,yes,0
naughtygopher__errors,trivy,v_all_tp,3,3,yes,2
naughtygopher__errors,trivy,v_imp_fp,1,1,yes,0
naughtygopher__errors,trivy,v_impT_fp,1,1,yes,0
naughtygopher__errors,cdxgen,n_all_fn,35,35,yes,34
naughtygopher__errors,cdxgen,v_all_fn,35,35,yes,34
naughtygopher__errors,cyclonedx-gomod,n_all_fn,35,35,yes,34
naughtygopher__errors,cyclonedx-gomod,v_all_fn,35,35,yes,34
