c2sp.org/CCTV/age	v0.0.0-20251208015420-e9274a7bdbfd
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc	v1.37.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.37.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc	v1.37.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/sdk	v1.43.0
go.opentelemetry.io/otel/sdk/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
go.opentelemetry.io/proto/otlp	v1.7.0
go.uber.org/goleak	v1.3.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.54.0
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.56.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/text	v0.40.0
golang.org/x/time	v0.15.0
golang.org/x/tools	v0.47.0
gonum.org/v1/gonum	v0.17.0
google.golang.org/api	v0.288.0
google.golang.org/genproto	v0.0.0-20260319201613-d00831a3d3e7
google.golang.org/genproto/googleapis/api	v0.0.0-20260414002931-afd174a4e478
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260630182238-925bb5da69e7
google.golang.org/grpc	v1.82.0
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/ini.v1	v1.67.2
gopkg.in/yaml.v3	v3.0.1
gotest.tools/v3	v3.5.2
mvdan.cc/sh/v3	v3.13.1
pgregory.net/rapid	v1.2.0
