repo,tool,n_cold,n_warm,added_warm,removed_warm,changed,gt_all,cold_tp,warm_tp
CalebQ42__bbConvert,cyclonedx-gomod,1,1,0,0,no,1,1,1
seiflotfy__count-min-log,syft,1,1,0,0,no,1,1,1
seiflotfy__count-min-log,trivy,1,1,0,0,no,1,1,1
seiflotfy__count-min-log,cdxgen,1,1,0,0,no,1,1,1
seiflotfy__count-min-log,cyclonedx-gomod,1,1,0,0,no,1,1,1
42Atomys__webhooked,syft,48,48,0,0,no,181,48,48
42Atomys__webhooked,trivy,31,31,0,0,no,181,31,31
42Atomys__webhooked,cdxgen,26,26,0,0,no,181,26,26
42Atomys__webhooked,cyclonedx-gomod,27,27,0,0,no,181,27,27
uptrace__bun,syft,144,144,0,0,no,22,17,17
uptrace__bun,trivy,119,119,0,0,no,22,17,17
uptrace__bun,cdxgen,72,72,0,0,no,22,11,11
uptrace__bun,cyclonedx-gomod,9,9,0,0,no,22,9,9
fern4lvarez__piladb,syft,3,3,0,0,no,3,3,3
fern4lvarez__piladb,trivy,3,3,0,0,no,3,3,3
fern4lvarez__piladb,cdxgen,1,1,0,0,no,3,1,1
fern4lvarez__piladb,cyclonedx-gomod,NA,2,2,0,YES,3,NA,2
axiomhq__hyperloglog,syft,10,10,0,0,no,15,10,10
axiomhq__hyperloglog,trivy,9,9,0,0,no,15,9,9
axiomhq__hyperloglog,cdxgen,2,2,0,0,no,15,2,2
axiomhq__hyperloglog,cyclonedx-gomod,2,2,0,0,no,15,2,2
cybertec-postgresql__pg_timetable,syft,112,112,0,0,no,140,112,112
cybertec-postgresql__pg_timetable,trivy,93,93,0,0,no,140,93,93
cybertec-postgresql__pg_timetable,cdxgen,84,84,0,0,no,140,84,84
cybertec-postgresql__pg_timetable,cyclonedx-gomod,89,89,0,0,no,140,89,89
mattn__goveralls,syft,4,4,0,0,no,10,4,4
mattn__goveralls,trivy,10,10,0,0,no,10,10,10
mattn__goveralls,cdxgen,2,2,0,0,no,10,2,2
mattn__goveralls,cyclonedx-gomod,2,2,0,0,no,10,2,2
esimov__gogu,syft,7,7,0,0,no,12,7,7
esimov__gogu,trivy,6,6,0,0,no,12,6,6
esimov__gogu,cdxgen,2,2,0,0,no,12,2,2
esimov__gogu,cyclonedx-gomod,2,2,0,0,no,12,2,2
valyala__quicktemplate,syft,4,4,0,0,no,9,4,4
valyala__quicktemplate,trivy,4,4,0,0,no,9,4,4
valyala__quicktemplate,cdxgen,4,4,0,0,no,9,4,4
valyala__quicktemplate,cyclonedx-gomod,4,4,0,0,no,9,4,4
krotik__ecal,syft,4,4,0,0,no,1,1,1
krotik__ecal,trivy,4,4,0,0,no,1,1,1
krotik__ecal,cdxgen,3,3,0,0,no,1,1,1
krotik__ecal,cyclonedx-gomod,1,1,0,0,no,1,1,1
bradleyjkemp__cupaloy,syft,6,6,0,0,no,6,6,6
bradleyjkemp__cupaloy,trivy,6,6,0,0,no,6,6,6
bradleyjkemp__cupaloy,cdxgen,2,2,0,0,no,6,2,2
bradleyjkemp__cupaloy,cyclonedx-gomod,2,2,0,0,no,6,2,2
corazawaf__coraza,syft,75,75,0,0,no,125,75,75
corazawaf__coraza,trivy,68,68,0,0,no,125,68,68
corazawaf__coraza,cdxgen,35,35,0,0,no,125,35,35
corazawaf__coraza,cyclonedx-gomod,34,34,0,0,no,125,34,34
pascaldekloe__colfer,syft,5,5,0,0,no,14,5,5
pascaldekloe__colfer,trivy,NA,NA,0,0,no,14,NA,NA
pascaldekloe__colfer,cdxgen,3,3,0,0,no,14,3,3
pascaldekloe__colfer,cyclonedx-gomod,3,3,0,0,no,14,3,3
galeone__tfgo,syft,3,3,0,0,no,5,3,3
galeone__tfgo,trivy,2,2,0,0,no,5,2,2
galeone__tfgo,cdxgen,2,2,0,0,no,5,2,2
galeone__tfgo,cyclonedx-gomod,2,2,0,0,no,5,2,2
ajvb__kala,syft,76,76,0,0,no,234,76,76
ajvb__kala,trivy,234,234,0,0,no,234,234,234
ajvb__kala,cdxgen,41,41,0,0,no,234,41,41
ajvb__kala,cyclonedx-gomod,44,44,0,0,no,234,44,44
HazelnutParadise__insyra,syft,196,196,0,0,no,517,196,196
HazelnutParadise__insyra,trivy,148,148,0,0,no,517,148,148
HazelnutParadise__insyra,cdxgen,128,128,0,0,no,517,128,128
HazelnutParadise__insyra,cyclonedx-gomod,134,134,0,0,no,517,134,134
huandu__go-sqlbuilder,syft,4,4,0,0,no,9,4,4
huandu__go-sqlbuilder,trivy,4,4,0,0,no,9,4,4
huandu__go-sqlbuilder,cdxgen,2,2,0,0,no,9,2,2
huandu__go-sqlbuilder,cyclonedx-gomod,2,2,0,0,no,9,2,2
didip__tollbooth,syft,6,6,0,0,no,6,6,6
didip__tollbooth,trivy,6,6,0,0,no,6,6,6
didip__tollbooth,cdxgen,1,1,0,0,no,6,1,1
didip__tollbooth,cyclonedx-gomod,1,1,0,0,no,6,1,1
gabrie30__ghorg,syft,73,73,0,0,no,94,67,67
gabrie30__ghorg,trivy,61,61,0,0,no,94,55,55
gabrie30__ghorg,cdxgen,55,55,0,0,no,94,55,55
gabrie30__ghorg,cyclonedx-gomod,55,55,0,0,no,94,55,55
julienschmidt__go-http-routing-benchmark,syft,98,98,0,0,no,134,98,98
julienschmidt__go-http-routing-benchmark,trivy,134,134,0,0,no,134,134,134
julienschmidt__go-http-routing-benchmark,cdxgen,82,82,0,0,no,134,82,82
julienschmidt__go-http-routing-benchmark,cyclonedx-gomod,86,86,0,0,no,134,86,86
kelindar__tile,syft,7,7,0,0,no,8,7,7
kelindar__tile,trivy,6,6,0,0,no,8,6,6
kelindar__tile,cdxgen,2,2,0,0,no,8,2,2
kelindar__tile,cyclonedx-gomod,2,2,0,0,no,8,2,2
taskctl__taskctl,syft,54,54,0,0,no,63,54,54
taskctl__taskctl,trivy,41,41,0,0,no,63,41,41
taskctl__taskctl,cdxgen,40,40,0,0,no,63,40,40
taskctl__taskctl,cyclonedx-gomod,41,41,0,0,no,63,41,41
vadiminshakov__committer,syft,34,34,0,0,no,111,34,34
vadiminshakov__committer,trivy,28,28,0,0,no,111,28,28
vadiminshakov__committer,cdxgen,24,24,0,0,no,111,24,24
vadiminshakov__committer,cyclonedx-gomod,24,24,0,0,no,111,24,24
lynxbase__lynxdb,syft,154,154,0,0,no,232,153,153
lynxbase__lynxdb,trivy,134,134,0,0,no,232,133,133
lynxbase__lynxdb,cdxgen,90,90,0,0,no,232,90,90
lynxbase__lynxdb,cyclonedx-gomod,92,92,0,0,no,232,92,92
osteele__liquid,syft,234,234,0,0,no,373,234,234
osteele__liquid,trivy,207,207,0,0,no,373,207,207
osteele__liquid,cdxgen,2,2,0,0,no,373,2,2
osteele__liquid,cyclonedx-gomod,204,204,0,0,no,373,204,204
aliexpressru__gomemcached,syft,31,31,0,0,no,56,31,31
aliexpressru__gomemcached,trivy,23,23,0,0,no,56,23,23
aliexpressru__gomemcached,cdxgen,18,18,0,0,no,56,18,18
aliexpressru__gomemcached,cyclonedx-gomod,18,18,0,0,no,56,18,18
gobuffalo__pop,syft,60,60,0,0,no,71,60,60
gobuffalo__pop,trivy,57,57,0,0,no,71,57,57
gobuffalo__pop,cdxgen,50,50,0,0,no,71,50,50
gobuffalo__pop,cyclonedx-gomod,52,52,0,0,no,71,52,52
Edgenesis__shifu,syft,166,166,0,0,no,435,166,166
Edgenesis__shifu,trivy,137,137,0,0,no,435,137,137
Edgenesis__shifu,cdxgen,126,126,0,0,no,435,126,126
Edgenesis__shifu,cyclonedx-gomod,119,119,0,0,no,435,119,119
agilira__orpheus,syft,24,24,0,0,no,5,5,5
agilira__orpheus,trivy,25,25,0,0,no,5,5,5
agilira__orpheus,cdxgen,5,5,0,0,no,5,5,5
agilira__orpheus,cyclonedx-gomod,5,5,0,0,no,5,5,5
assafmo__joincap,syft,5,5,0,0,no,12,5,5
assafmo__joincap,trivy,12,12,0,0,no,12,12,12
assafmo__joincap,cdxgen,5,5,0,0,no,12,5,5
assafmo__joincap,cyclonedx-gomod,5,5,0,0,no,12,5,5
Unrud__remote-touchpad,syft,5,5,0,0,no,8,5,5
Unrud__remote-touchpad,trivy,5,5,0,0,no,8,5,5
Unrud__remote-touchpad,cdxgen,2,2,0,0,no,8,2,2
Unrud__remote-touchpad,cyclonedx-gomod,5,5,0,0,no,8,5,5
xitonix__trubka,syft,64,64,0,0,no,124,64,64
xitonix__trubka,trivy,46,46,0,0,no,124,46,46
xitonix__trubka,cdxgen,45,45,0,0,no,124,45,45
xitonix__trubka,cyclonedx-gomod,46,46,0,0,no,124,46,46
golobby__config,syft,12,12,0,0,no,16,12,12
golobby__config,trivy,16,16,0,0,no,16,16,16
golobby__config,cdxgen,5,5,0,0,no,16,5,5
golobby__config,cyclonedx-gomod,5,5,0,0,no,16,5,5
blinklabs-io__nview,syft,35,35,0,0,no,59,35,35
blinklabs-io__nview,trivy,29,29,0,0,no,59,29,29
blinklabs-io__nview,cdxgen,22,22,0,0,no,59,22,22
blinklabs-io__nview,cyclonedx-gomod,27,27,0,0,no,59,27,27
Humpheh__goboy,syft,17,17,0,0,no,28,17,17
Humpheh__goboy,trivy,16,16,0,0,no,28,16,16
Humpheh__goboy,cdxgen,8,8,0,0,no,28,8,8
Humpheh__goboy,cyclonedx-gomod,12,12,0,0,no,28,12,12
pterm__pterm,syft,19,19,0,0,no,29,19,19
pterm__pterm,trivy,14,14,0,0,no,29,14,14
pterm__pterm,cdxgen,10,10,0,0,no,29,10,10
pterm__pterm,cyclonedx-gomod,10,10,0,0,no,29,10,10
nikogura__gomason,syft,20,20,0,0,no,30,20,20
nikogura__gomason,trivy,15,15,0,0,no,30,15,15
nikogura__gomason,cdxgen,13,13,0,0,no,30,13,13
nikogura__gomason,cyclonedx-gomod,14,14,0,0,no,30,14,14
Jagerente__gocfg,syft,6,6,0,0,no,7,6,6
Jagerente__gocfg,trivy,7,7,0,0,no,7,7,7
Jagerente__gocfg,cdxgen,1,1,0,0,no,7,1,1
Jagerente__gocfg,cyclonedx-gomod,1,1,0,0,no,7,1,1
libgit2__git2go,syft,4,4,0,0,no,6,4,4
libgit2__git2go,trivy,6,6,0,0,no,6,6,6
libgit2__git2go,cdxgen,1,1,0,0,no,6,1,1
libgit2__git2go,cyclonedx-gomod,2,2,0,0,no,6,2,2
psampaz__gothanks,syft,13,13,0,0,no,32,13,13
psampaz__gothanks,trivy,32,32,0,0,no,32,32,32
psampaz__gothanks,cdxgen,5,5,0,0,no,32,5,5
psampaz__gothanks,cyclonedx-gomod,9,9,0,0,no,32,9,9
vinod-morya__fibersse,syft,24,24,0,0,no,28,24,24
vinod-morya__fibersse,trivy,16,16,0,0,no,28,16,16
vinod-morya__fibersse,cdxgen,16,16,0,0,no,28,16,16
vinod-morya__fibersse,cyclonedx-gomod,16,16,0,0,no,28,16,16
dikhan__terraform-provider-openapi,syft,119,119,0,0,no,221,117,117
dikhan__terraform-provider-openapi,trivy,263,263,0,0,no,221,186,186
dikhan__terraform-provider-openapi,cdxgen,79,79,0,0,no,221,79,79
dikhan__terraform-provider-openapi,cyclonedx-gomod,66,66,0,0,no,221,66,66
catchplay__scaffold,syft,7,7,0,0,no,8,7,7
catchplay__scaffold,trivy,6,6,0,0,no,8,6,6
catchplay__scaffold,cdxgen,2,2,0,0,no,8,2,2
catchplay__scaffold,cyclonedx-gomod,2,2,0,0,no,8,2,2
jfeliu007__goplantuml,syft,2,2,0,0,no,78,2,2
jfeliu007__goplantuml,trivy,2,2,0,0,no,78,2,2
jfeliu007__goplantuml,cdxgen,2,2,0,0,no,78,2,2
jfeliu007__goplantuml,cyclonedx-gomod,2,2,0,0,no,78,2,2
garethgeorge__backrest,syft,86,86,0,0,no,130,86,86
garethgeorge__backrest,trivy,59,59,0,0,no,130,59,59
garethgeorge__backrest,cdxgen,59,59,0,0,no,130,59,59
garethgeorge__backrest,cyclonedx-gomod,52,52,0,0,no,130,52,52
miniscruff__changie,syft,54,54,0,0,no,62,54,54
miniscruff__changie,trivy,46,46,0,0,no,62,46,46
miniscruff__changie,cdxgen,43,43,0,0,no,62,43,43
miniscruff__changie,cyclonedx-gomod,45,45,0,0,no,62,45,45
knq__xo,syft,52,52,0,0,no,79,52,52
knq__xo,trivy,33,33,0,0,no,79,33,33
knq__xo,cdxgen,33,33,0,0,no,79,33,33
knq__xo,cyclonedx-gomod,33,33,0,0,no,79,33,33
k-capehart__go-salesforce,syft,15,15,0,0,no,33,15,15
k-capehart__go-salesforce,trivy,9,9,0,0,no,33,9,9
k-capehart__go-salesforce,cdxgen,6,6,0,0,no,33,6,6
k-capehart__go-salesforce,cyclonedx-gomod,6,6,0,0,no,33,6,6
james-bowman__sparse,syft,2,2,0,0,no,22,2,2
james-bowman__sparse,trivy,22,22,0,0,no,22,22,22
james-bowman__sparse,cdxgen,1,1,0,0,no,22,1,1
james-bowman__sparse,cyclonedx-gomod,1,1,0,0,no,22,1,1
gkampitakis__go-snaps,syft,15,15,0,0,no,23,15,15
gkampitakis__go-snaps,trivy,11,11,0,0,no,23,11,11
gkampitakis__go-snaps,cdxgen,11,11,0,0,no,23,11,11
